programa,no_clase,no_alumnos
Especialidad en Dirección de Operaciones,1401,5
Especialidad en Ingeniería y Gestión Ambiental,1402,1
Especialidad en Ingeniería y Gestión de Proyectos,1403,3
Especialidad en Logística Internacional,1404,3
Especialidad en Robótica y Manufactura,1405,1
Especialidad en Simuladores Gráficos,1406,4
Especialidad en Ingeniería y Gestión de Proyectos,1407,24
Maestría en Ingeniería,1408,4
Especialidad en Ingeniería y Gestión de Proyectos,1409,18
Maestría en Ingeniería,1410,1
Especialidad en Dirección de Operaciones,1411,3
Especialidad en Ingeniería y Gestión de Proyectos,1413,6
Especialidad en Simuladores Gráficos,1416,2
Maestría en Ciencia de Datos,1417,4
Especialidad en Ingeniería y Gestión Ambiental,1419,3
Especialidad en Ingeniería y Gestión de Proyectos,1420,6
Maestría en Ciencia de Datos,1424,4
Especialidad en Dirección de Operaciones,1425,10
Maestría en Ingeniería,1426,4
Especialidad en Dirección de Operaciones,1428,25
Maestría en Ingeniería,1429,4
Maestría en Ingeniería y Gestión de la Cadena de Suministros,1430,2
Especialidad en Logística Internacional,1431,16
Maestría en Ingeniería,1432,3
Maestría en Ingeniería y Gestión de la Cadena de Suministros,1433,2
Especialidad en Ingeniería y Gestión de Proyectos,1434,32
Especialidad en Ingeniería y Gestión Ambiental,1436,24
Maestría en Ingeniería,1438,6
Especialidad en Simuladores Gráficos,1439,14
Maestría en Ingeniería,1440,1
Especialidad en Robótica y Manufactura,1441,4
Especialidad en Dirección de Operaciones,1442,3
Especialidad en Ingeniería y Gestión de Proyectos,1444,5
Especialidad en Logística Internacional,1445,2
Especialidad en Dirección de Operaciones,1448,2
Especialidad en Ingeniería y Gestión Ambiental,1449,2
Especialidad en Ingeniería y Gestión de Proyectos,1450,8
Especialidad en Logística Internacional,1451,2
Especialidad en Dirección de Operaciones,1454,2
Especialidad en Ingeniería y Gestión Ambiental,1455,7
Especialidad en Ingeniería y Gestión de Proyectos,1456,12
Especialidad en Logística Internacional,1457,1
Especialidad en Robótica y Manufactura,1458,1
Especialidad en Dirección de Operaciones,1460,5
Especialidad en Ingeniería y Gestión Ambiental,1461,4
Especialidad en Ingeniería y Gestión de Proyectos,1462,7
Especialidad en Logística Internacional,1463,1
Especialidad en Robótica y Manufactura,1464,1
Especialidad en Simuladores Gráficos,1465,6
Especialidad en Dirección de Operaciones,1466,2
Especialidad en Ingeniería y Gestión de Proyectos,1468,5
Especialidad en Logística Internacional,1469,1
Especialidad en Dirección de Operaciones,1472,6
Especialidad en Ingeniería y Gestión Ambiental,1473,5
Especialidad en Ingeniería y Gestión de Proyectos,1474,12
Especialidad en Logística Internacional,1475,3
Maestría en Ciencia de Datos,1476,4
Especialidad en Robótica y Manufactura,1477,1
Especialidad en Ingeniería y Gestión Ambiental,1479,24
Especialidad en Logística Internacional,1481,16
Maestría en Ingeniería,1482,3
Maestría en Ingeniería y Gestión de la Cadena de Suministros,1483,3
Maestría en Ingeniería,1484,6
Especialidad en Simuladores Gráficos,1485,19
Especialidad en Ingeniería y Gestión de Proyectos,1486,33
Maestría en Ingeniería,1488,1
Especialidad en Robótica y Manufactura,1489,4
Especialidad en Dirección de Operaciones,1490,26
Maestría en Ingeniería,1491,2
Maestría en Ingeniería y Gestión de la Cadena de Suministros,1492,2
Maestría en Ciencia de Datos,1493,1
