Id de curso,No. de clase
035335,8784
035291,1046
035290,11559
035289,1047
035288,11557
035287,10925
035287,12136
035286,10924
035281,11554
035281,10921
035280,11556
035275,1045
035275,10923
035275,11563
035274,11548
035273,11550
035271,11549
035270,11545
035269,11547
035265,10912
035263,1038
035259,1037
035257,1036
035071,1375
035068,1360
035065,1376
035064,12071
035064,1365
035063,1369
035061,1371
035060,1377
035059,1361
035057,1368
035056,1387
035053,12072
035053,1362
032723,1098
032722,1097
032717,1159
032716,1160
032714,1158
032713,1157
032710,1105
032709,1104
032707,1103
032700,1175
032696,1173
032695,1172
032694,1171
032688,9934
032687,1118
032686,1116
032683,1120
032682,1165
032681,1119
032667,1163
032665,1164
032557,1107
032554,1102
032553,1099
032552,1088
032551,1086
032549,1100
032548,1081
032547,1096
032546,1093
032545,1225
032545,1226
032545,1227
032545,1228
032544,1216
032544,1215
032544,1214
032544,1213
032541,1161
032540,1108
032539,1106
032536,1109
032534,1101
032521,1156
032520,1154
032518,1147
032517,1151
032516,1152
032515,1133
032514,1132
032513,1149
032512,1150
032511,1130
032510,1131
032509,1146
032508,1148
032507,1222
032507,1128
032507,1223
032507,1224
032506,1212
032506,1211
032506,1129
032506,1210
032505,1127
032504,1126
032503,1117
032501,1125
032500,1124
032499,1114
032498,1115
032497,1123
032496,1122
032495,1112
032494,1113
032493,1121
032491,1221
032490,1170
032490,1209
032427,1166
032426,1167
032425,1168
032424,1094
032424,1290
032423,1095
032423,1289
032422,1085
032421,1090
032420,1082
032419,1092
032418,1083
032417,1084
032416,1089
032415,1087
032414,1229
032414,1230
032414,1231
032414,1232
032413,1220
032413,1219
032413,1218
032413,1217
031571,1291
031570,1288
031569,1293
031521,1176
031518,1177
031515,1178
031513,1518
031503,1334
031502,1332
031501,1330
031500,1284
031499,1278
031435,11933
031434,11946
031433,11930
031432,11931
031431,11940
031430,11928
031429,11953
031428,11954
031427,11951
031426,11952
031423,11956
031422,11955
030418,10733
030417,10654
030413,10653
030409,2688
030408,1007
030404,1015
030403,1008
030395,1002
030394,1016
030393,2816
030392,2817
030391,1010
030390,2815
030389,1006
030386,1012
029599,1357
029587,1358
029586,1359
029565,1598
029564,1506
029564,1536
029563,1417
029563,1476
029561,1493
029561,1591
029561,1858
029560,1516
029560,1611
029559,1424
029558,1774
029557,1799
029555,1802
029555,1859
029554,1796
029553,1798
029553,1801
029553,1855
029553,1856
029552,1803
029551,1797
029551,1857
029549,1800
029548,1795
029545,1775
029544,1689
029543,1794
029483,1455
029479,6653
029478,6652
029477,1388
029477,6651
029476,1448
029476,1386
029475,1384
029295,1235
029290,1378
029289,1374
029234,1599
029232,1625
029231,1495
029231,1593
029230,1511
029230,1606
029229,1419
029228,1402
029228,1461
029228,1531
029227,1443
029227,1467
029226,1449
029225,1501
029225,1538
029224,1412
029224,1473
029221,1587
029220,1566
029218,1436
029216,1479
028951,10439
028950,10438
028949,10433
028947,10950
028945,10949
028945,10418
028942,10947
028941,10948
028774,11609
028771,11599
028769,11614
028768,11608
028751,1582
028751,1136
028751,1583
028751,1585
028751,1586
028749,1137
028746,1140
028745,1139
028741,1141
028726,1559
028725,1483
028724,1433
028718,1549
028718,1554
028717,1427
028717,1492
028716,1430
028716,1519
028712,1527
028712,1620
028711,1525
028711,1612
028710,1507
028710,1617
028056,1588
028055,1565
028054,1489
028053,1441
027995,1437
027993,1567
027991,1480
027976,1484
027975,1560
027974,1438
027966,1564
027965,1488
027964,1440
027957,1408
027957,1410
027957,1487
027956,1544
027956,1546
027956,1552
027954,1435
027954,1521
027954,1523
027948,1558
027947,1482
027946,1432
027939,1550
027939,1555
027938,1426
027938,1491
027937,1429
027933,1528
027933,1621
027932,1524
027932,1613
027931,1508
027931,1618
027930,1590
027925,1485
027924,1561
027923,1439
027918,1589
027917,1572
027916,1556
027915,1481
027914,1431
027909,1569
027909,1616
027908,1571
027907,1407
027907,1409
027907,1486
027906,1543
027906,1545
027906,1551
027904,1434
027904,1520
027904,1522
027901,1604
027901,1600
027901,1601
027901,1602
027901,1603
027899,1454
027899,1456
027899,1457
027899,1458
027899,1459
027899,1624
027899,1626
027899,1627
027899,1623
027899,1628
027898,1494
027898,1496
027898,1497
027898,1498
027898,1499
027898,1592
027898,1594
027898,1595
027898,1596
027898,1597
027897,1510
027897,1512
027897,1513
027897,1514
027897,1515
027897,1605
027897,1607
027897,1608
027897,1609
027897,1610
027896,1418
027896,1420
027896,1421
027896,1422
027896,1423
027895,1401
027895,1403
027895,1404
027895,1405
027895,1406
027895,1460
027895,1462
027895,1463
027895,1464
027895,1465
027895,1530
027895,1532
027895,1533
027895,1534
027895,1535
027894,1442
027894,1444
027894,1445
027894,1446
027894,1447
027894,1466
027894,1468
027894,1469
027894,1470
027894,1471
027893,1450
027893,1451
027893,1452
027893,1453
027892,1500
027892,1502
027892,1503
027892,1504
027892,1505
027892,1537
027892,1539
027892,1540
027892,1541
027892,1542
027891,1411
027891,1413
027891,1414
027891,1415
027891,1416
027891,1472
027891,1474
027891,1475
027891,1477
027891,1478
027889,1615
027889,1568
027888,1570
027887,1548
027887,1553
027886,1425
027886,1490
027885,1428
027885,1517
027760,1143
027759,1142
027758,1138
027757,1135
027756,1111
027755,1110
027558,1295
027558,1346
