nombre_modulo,programa,no_clase,no_alumnos
Marco Teórico del Capital y,Maestría en Derecho Laboral,1335,20
Humanísticas,Maestría en Derecho Laboral,1336,20
Conceptos Fundamentales del D,Maestría en Derecho Laboral,1278,20
Conceptos Fundamentales del D,Maestría en Derecho Laboral,1284,20
Derecho Colectivo,Maestría en Derecho Laboral,1330,20
Relaciones Individuales del T,Maestría en Derecho Laboral,1332,20
Derecho Procesal del Trabajo,Maestría en Derecho Laboral,1334,20
Amparo Laboral,Maestría en Derecho Laboral,1337,20
Derecho Internacional del Trab,Maestría en Derecho Laboral,1338,20
Régimen de la Seguridad Social,Maestría en Derecho Laboral,1348,20
Negociación en Materia Laboral,Maestría en Derecho Laboral,1350,20
Modalidades de Contratación,Maestría en Derecho Laboral,1351,20
Derecho Burocrático,Maestría en Derecho Laboral,1352,20
Derechos Humanos en la Empresa,Maestría en Derecho Laboral,1353,20
Argumentación Jurídica,Maestría en Derecho Laboral,1354,20
Práctica Forense del Derecho L,Maestría en Derecho Laboral,1355,20
Seminario de Actualización en,Maestría en Derecho Laboral,1356,20
Principios Éticos del Derecho,Maestría en Instituciones de Derecho Financiero,1304,40
Economía y Derecho Monetario,Maestría en Instituciones de Derecho Financiero,1305,40
El Sistema Financiero y Banca,Maestría en Instituciones de Derecho Financiero,1306,40
Operaciones Bancarias y Temas,Maestría en Instituciones de Derecho Financiero,1307,40
Liquidación de Instituciones,Maestría en Instituciones de Derecho Financiero,1308,40
Derecho Bursátil,Maestría en Instituciones de Derecho Financiero,1309,40
"Derecho de Seguros, Finanzas,",Maestría en Instituciones de Derecho Financiero,1310,40
Protección de los Intereses,Maestría en Instituciones de Derecho Financiero,1311,40
Autorización para Operar,Maestría en Instituciones de Derecho Financiero,1312,40
Derecho Financiero Internacion,Maestría en Instituciones de Derecho Financiero,1313,40
Delitos Financieros,Maestría en Instituciones de Derecho Financiero,1314,40
Grupos Financieros,Maestría en Instituciones de Derecho Financiero,1315,40
Temas Selectos de Derecho F,Maestría en Instituciones de Derecho Financiero,1316,40
Metodología de la Investigació,Maestría en Instituciones de Derecho Financiero,1317,40
Productos Financieros Derivado,Maestría en Instituciones de Derecho Financiero,1318,40
Se Metodología Estudio de Caso,Maestría en Derecho de la Empresa,1262,40
Etapa de Creación de la Empres,Maestría en Derecho de la Empresa,1266,40
Etapa de Obtención de Recursos,Maestría en Derecho de la Empresa,1268,40
Etapa de Operación de la Empresa,Maestría en Derecho de la Empresa,1271,40
Etapa de Transf. de la Empresa,Maestría en Derecho de la Empresa,1003,40
Seminario de Toma de Decisione,Maestría en Derecho de la Empresa,1274,40
Empresa y Familia,Maestría en Derecho de la Empresa,1005,40
Metodología del Derecho,Maestría en Ciencias Jurídicas,1196,14
Antropología y Ética,Maestría en Ciencias Jurídicas,1197,14
Historia del Pensamiento Juríd,Maestría en Ciencias Jurídicas,1198,14
Temas Selec de Teoría Política,Maestría en Ciencias Jurídicas,1207,14
Metodología de la Enseñanza,Maestría en Ciencias Jurídicas,1199,14
Filosofía del Derecho,Maestría en Ciencias Jurídicas,1200,14
Derechos Humanos,Maestría en Ciencias Jurídicas,1201,14
Historia del Derecho Natural,Maestría en Ciencias Jurídicas,1202,14
Seminario de Investigación y T,Maestría en Ciencias Jurídicas,1203,14
Temas Selec. de Derecho Const.,Maestría en Ciencias Jurídicas,1204,14
Temas Selec de Filosofía del D,Maestría en Ciencias Jurídicas,1205,14
Temas Selec. de Argumentación,Maestría en Ciencias Jurídicas,1206,14
Temas Selec de Teoría Política,Maestría en Ciencias Jurídicas,1207,14
Temas Selectos de Derecho Proc,Especialidad en Derecho Procesal Civil y Mercantil,1080,12
Amparo en Materia Civil y Merc,Especialidad en Derecho Procesal Civil y Mercantil,1079,12
Cooperación Procesal Internaci,Especialidad en Derecho Procesal Civil y Mercantil,1078,12
Jurisdicción Voluntaria,Especialidad en Derecho Procesal Civil y Mercantil,1077,12
Tercería Civil y Mercantil,Especialidad en Derecho Procesal Civil y Mercantil,1076,12
Juicio Especial Hipotecario,Especialidad en Derecho Procesal Civil y Mercantil,1075,12
Juicio Ejecutivo,Especialidad en Derecho Procesal Civil y Mercantil,1074,12
Concursos y Quiebras,Especialidad en Derecho Procesal Civil y Mercantil,1073,12
Controversias del Orden Famili,Especialidad en Derecho Procesal Civil y Mercantil,1072,12
Controversias por Arrendamient,Especialidad en Derecho Procesal Civil y Mercantil,1071,12
Ejecución de Sentencia,Especialidad en Derecho Procesal Civil y Mercantil,1070,12
Impugnación Procesal,Especialidad en Derecho Procesal Civil y Mercantil,1069,12
Juicio Ordinario. Fase Conclus,Especialidad en Derecho Procesal Civil y Mercantil,1068,12
Juicio Ordinario. Fase Probato,Especialidad en Derecho Procesal Civil y Mercantil,1067,12
Juicio Ordinario. Introducción,Especialidad en Derecho Procesal Civil y Mercantil,1066,12
Jurisdicción,Especialidad en Derecho Procesal Civil y Mercantil,1065,12
La Acción Procesal,Especialidad en Derecho Procesal Civil y Mercantil,1064,12
Introducción al Derecho Proces,Especialidad en Derecho Procesal Civil y Mercantil,1063,12
Las Sentencias y los Recursos,Especialidad en Derecho de Amparo,1243,32
Improcedencia y Sobreseimiento,Especialidad en Derecho de Amparo,1242,32
Diversas Cuestiones Procesales,Especialidad en Derecho de Amparo,1241,32
La Suspensión del Acto Reclama,Especialidad en Derecho de Amparo,1240,32
Control y Defensa de la Consti,Especialidad en Derecho de Amparo,1239,32
Teoría del Proceso,Especialidad en Derecho de Amparo,1237,32
Introducción al Juicio de Ampa,Especialidad en Derecho de Amparo,1236,32
