nombre_modulo,programa,no_clase,no_alumnos
Análisis de Riesgos,Doctorado en Ciencias Empresariales,1178,5
Desarrollo de Contenidos Audio,Doctorado en Ciencias Empresariales,1157,5
Empresa Audiovisual y Marco No,Doctorado en Ciencias Empresariales,1158,5
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,5
Mercadotecnia Analítica,Doctorado en Ciencias Empresariales,1177,5
Métodos Cuantitativos Multiva.,Doctorado en Ciencias Empresariales,1139,5
Propedéutico en Economía,Doctorado en Ciencias Empresariales,1293,5
Propedéutico en Estadística,Doctorado en Ciencias Empresariales,1288,5
Propedéutico en Finanzas,Doctorado en Ciencias Empresariales,1291,5
Seminario de Investigación II,Doctorado en Ciencias Empresariales,1140,5
Seminario de Investigación IV,Doctorado en Ciencias Empresariales,1137,5
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1586,5
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1585,5
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1583,5
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1136,5
Seminario de Investigación VI,Doctorado en Ciencias Empresariales,1582,5
Temas Avanzados de Estrategia,Doctorado en Ciencias Empresariales,1176,5
Big Data y Megatendencias,Maestría en Administración de Proyectos,1166,6
Dirección Estratégica,Maestría en Administración de Proyectos,1229,7
Dirección Estratégica,Maestría en Administración de Proyectos,1230,7
Dirección Estratégica,Maestría en Administración de Proyectos,1231,7
Dirección Estratégica,Maestría en Administración de Proyectos,1232,7
Ejecución de la Estrategia y D,Maestría en Administración de Proyectos,1090,18
Ética Empresarial y Resp. Soc.,Maestría en Administración de Proyectos,1217,7
Ética Empresarial y Resp. Soc.,Maestría en Administración de Proyectos,1218,7
Ética Empresarial y Resp. Soc.,Maestría en Administración de Proyectos,1219,7
Ética Empresarial y Resp. Soc.,Maestría en Administración de Proyectos,1220,7
Finanzas en la Organización,Maestría en Administración de Proyectos,1082,18
Fundamentos de la Administraci,Maestría en Administración de Proyectos,1087,28
Gestión de Riesgos en Proyecto,Maestría en Administración de Proyectos,1083,18
Habilidades Interpersonales pa,Maestría en Administración de Proyectos,1095,0
Habilidades Interpersonales pa,Maestría en Administración de Proyectos,1289,0
Impactos Organizacionales y Cu,Maestría en Administración de Proyectos,1092,18
Metodologías Ágiles para la In,Maestría en Administración de Proyectos,1167,6
Oficina de Dirección de Proyec,Maestría en Administración de Proyectos,1089,28
Organizaciones Ambidiestras,Maestría en Administración de Proyectos,1168,6
Seminario de Casos de Negocio,Maestría en Administración de Proyectos,1094,0
Seminario de Casos de Negocio,Maestría en Administración de Proyectos,1290,0
Seminario de preparación para,Maestría en Administración de Proyectos,1085,0
Técnicas y Herramientas para,Maestría en Administración de Proyectos,1084,6
Administración de Portafolios,Maestría en Finanzas,1125,11
Análisis Financiero,Maestría en Finanzas,1112,24
Analítica de Datos Financieros,Maestría en Finanzas,1122,24
Dirección Estratégica,Maestría en Finanzas,1118,7
Dirección Estratégica,Maestría en Finanzas,1221,7
Dirección Estratégica,Maestría en Finanzas,1173,7
Dirección Estratégica,Maestría en Finanzas,1175,7
"Control Interno, Costos y Presupuestos",Maestría en Finanzas,1116,11
Entorno Económico,Maestría en Finanzas,1120,30
Contabilidad Financiera,Maestría en Finanzas,1113,24
Derecho Corporativo,Maestría en Finanzas,1127,11
Ética Empresarial y Responsabi,Maestría en Finanzas,1119,7
Ética Empresarial y Responsabi,Maestría en Finanzas,1209,7
Ética Empresarial y Responsabi,Maestría en Finanzas,1170,7
Ética Empresarial y Responsabi,Maestría en Finanzas,1171,7
Finanzas Corporativas,Maestría en Finanzas,1123,24
Impuestos Corporativos,Maestría en Finanzas,1126,11
Métodos Cuantitativos,Maestría en Finanzas,1121,30
Tesorería y Sistema Bancario,Maestría en Finanzas,1117,11
Valuación de Instrumentos de R,Maestría en Finanzas,1115,11
Valuación de Instrumentos de R,Maestría en Finanzas,1114,11
Valuación de Instrumentos Deri,Maestría en Finanzas,1124,11
Análisis Comparativo del ISR,Maestría en Impuestos,1156,7
Aspectos Fiscales del Comercio,Maestría en Impuestos,1152,8
Aspectos Internacionales de lo,Maestría en Impuestos,1149,19
Contribuciones del Trabajo,Maestría en Impuestos,1133,8
Dirección Estratégica,Maestría en Impuestos,1222,5
Dirección Estratégica,Maestría en Impuestos,1223,5
Dirección Estratégica,Maestría en Impuestos,1224,5
Dirección Estratégica,Maestría en Impuestos,1128,5
Ética Empresarial y Responsabi,Maestría en Impuestos,1210,5
Ética Empresarial y Responsabi,Maestría en Impuestos,1211,5
Ética Empresarial y Responsabi,Maestría en Impuestos,1212,5
Ética Empresarial y Responsabi,Maestría en Impuestos,1129,5
Precios de Transferencia,Maestría en Impuestos,1160,7
Gestión Tributaria Internacion,Maestría en Impuestos,1154,7
Impuestos Corporativos,Maestría en Impuestos,1130,19
Impuestos Indirectos,Maestría en Impuestos,1131,19
Introducción a la Tributación,Maestría en Impuestos,1147,7
ISR Personas Físicas,Maestría en Impuestos,1150,19
ISR Personas Morales,Maestría en Impuestos,1146,22
Política Fiscal y Marco Tribut,Maestría en Impuestos,1148,22
Procedimientos Administrativos,Maestría en Impuestos,1151,8
Regímenes Especiales de ISR,Maestría en Impuestos,1132,8
Comunicaciones Integrales de M,Maestría en Mercadotecnia Estratégica,1100,8
Dirección Estratégica,Maestría en Mercadotecnia Estratégica,1225,5
Dirección Estratégica,Maestría en Mercadotecnia Estratégica,1226,5
Dirección Estratégica,Maestría en Mercadotecnia Estratégica,1227,5
Dirección Estratégica,Maestría en Mercadotecnia Estratégica,1228,5
Ética Empresarial y Responsabi,Maestría en Mercadotecnia Estratégica,1213,5
Ética Empresarial y Responsabi,Maestría en Mercadotecnia Estratégica,1214,5
Ética Empresarial y Responsabi,Maestría en Mercadotecnia Estratégica,1215,5
Ética Empresarial y Responsabi,Maestría en Mercadotecnia Estratégica,1216,5
Evolución de la Mercadotecnia,Maestría en Mercadotecnia Estratégica,1099,4
Gestión de Relación con los Cl,Maestría en Mercadotecnia Estratégica,1086,8
Gestión Estratégica de Precios,Maestría en Mercadotecnia Estratégica,1081,8
Gestión Estratégica de Ventas,Maestría en Mercadotecnia Estratégica,1088,4
Inteligencia de Negocios en un,Maestría en Mercadotecnia Estratégica,1102,4
Análisis Financiero de la Mercadotecnia,Maestría en Mercadotecnia Estratégica,1097,8
Investigación de Mercados,Maestría en Mercadotecnia Estratégica,1093,20
Nuevos modelos de mercadotecnia,Maestría en Mercadotecnia Estratégica,1104,4
Organizaciones Ambidiestras,Maestría en Mercadotecnia Estratégica,1098,4
Big Data y Megatendencias,Maestría en Mercadotecnia Estratégica,1105,4
Marcas y Posicionamiento,Maestría en Mercadotecnia Estratégica,1096,20
Metodologías Ágiles para la In,Maestría en Mercadotecnia Estratégica,1107,5
Aspectos Estratégicos del Proc,Maestría en Negocios Internacionales,1108,0
Formas de Pago Internacional,Maestría en Negocios Internacionales,1109,0
Marco Regulatorio del Comercio,Maestría en Negocios Internacionales,1106,0
Negocios Internacionales de Se,Maestría en Negocios Internacionales,1101,0
Transportes Internacionales de Mercancias,Maestría en Negocios Internacionales,1103,0
Contratos Internacionales,Maestría en Negocios Internacionales,1165,0
Big Data y Megatendencias,Maestría en Negocios Internacionales,1163,7
Metodologías Ágiles para la In,Maestría en Negocios Internacionales,1164,7
Organizaciones Ambidiestras,Maestría en Negocios Internacionales,1161,7
Administración de Riesgos,Maestría Internacional en Finanzas,1010,14
Coordinación y formación de su,Maestría Internacional en Finanzas,2688,14
Cumplimiento y control normati,Maestría Internacional en Finanzas,1007,14
Estrategia corporativa y relac,Maestría Internacional en Finanzas,1016,14
Ética y responsabilidad empres,Maestría Internacional en Finanzas,1002,14
Finanzas Internacionales,Maestría Internacional en Finanzas,2816,14
Información financiera y proce,Maestría Internacional en Finanzas,1006,14
Mercados financieros,Maestría Internacional en Finanzas,2815,14
Nuevas alternativas de inversi,Maestría Internacional en Finanzas,1012,14
