Módulo,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Economía del Comportamiento,Maestría en Comunicaciones de Marca,11554,R 46,2023-01-10,2023-02-02,Jueves,19:00:00 ,22:00:00 
Economía del Comportamiento,Maestría en Comunicaciones de Marca,10921,R 46,2023-01-10,2023-02-02,Martes,19:00:00 ,22:00:00 
Comunicación de Crisis,Maestría en Comunicaciones de Marca,11556,NR 09,2023-02-07,2023-03-02,Martes,19:00:00 ,22:00:00 
Comunicación de Crisis,Maestría en Comunicaciones de Marca,11556,NR 09,2023-02-07,2023-03-02,Jueves,19:00:00 ,22:00:00 
Comunicación Ética para el Cambio social,Especialidad en Relaciones Públicas y Reputación de Marca,11548,R 15,2023-03-07,2023-03-30,Martes,19:00:00 ,22:00:00 
Comunicación Ética para el Cam,Especialidad en Relaciones Públicas y Reputación de Marca,11548,R 15,2023-03-07,2023-03-30,Jueves,19:00:00 ,22:00:00 
Estrategia de Comunicación y P,Maestría en Comunicaciones de Marca,11563,NR 09,2023-03-07,2023-03-30,Martes,19:00:00 ,22:00:00 
Estrategia de Comunicación y P,Maestría en Comunicaciones de Marca,11563,NR 09,2023-03-07,2023-03-30,Jueves,19:00:00 ,22:00:00 
Estrategia de Comunicación y P,Maestría en Comunicaciones de Marca,10923,NR 09,2023-04-18,2023-05-11,Martes,19:00:00 ,22:00:00 
Estrategia de Comunicación y P,Maestría en Comunicaciones de Marca,10923,NR 09,2023-04-18,2023-05-11,Jueves,19:00:00 ,22:00:00 
Seminario de Titulación,Maestría en Comunicaciones de Marca,10925,R 48,2023-03-07,2023-03-30,Martes,19:00:00 ,22:00:00 
Seminario de Titulación,Maestría en Comunicaciones de Marca,10925,R 48,2023-03-07,2023-05-30,Jueves,19:00:00 ,22:00:00 
"Modelos de Análisis, Medición",Maestría en Comunicaciones de Marca,11557,R 46,2023-04-18,2023-05-11,Martes,19:00:00 ,22:00:00 
"Modelos de Análisis, Medición",Maestría en Comunicaciones de Marca,11557,R 46,2023-04-18,2023-05-11,Jueves,19:00:00 ,22:00:00 
Narrativa de marca y storytelling,Especialidad en Relaciones Públicas y Reputación de Marca,11757,,2023-04-18,2023-05-11,Martes,19:00:00 ,22:00:00 
