nombre_modulo,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Introducción al Juicio de Ampa,Especialidad en Derecho de Amparo,1236,AULA MAGNA,2023-02-16,2023-03-02,Martes,19:00:00 ,22:00:00 
Introducción al Juicio de Ampa,Especialidad en Derecho de Amparo,1236,AULA MAGNA,2023-02-16,2023-03-02,Jueves,19:00:00 ,22:00:00 
Introducción al Juicio de Ampa,Especialidad en Derecho de Amparo,1236,AULA MAGNA,2023-02-16,2023-03-02,Martes,19:00:00 ,22:00:00 
Introducción al Juicio de Ampa,Especialidad en Derecho de Amparo,1236,AULA MAGNA,2023-02-16,2023-03-02,Jueves,19:00:00 ,22:00:00 
Teoría del Proceso,Especialidad en Derecho de Amparo,1237,AULA MAGNA,2023-03-07,2023-03-14,Jueves,19:00:00 ,22:00:00 
Teoría del Proceso,Especialidad en Derecho de Amparo,1237,AULA MAGNA,2023-03-07,2023-03-14,Martes,19:00:00 ,22:00:00 
Teoría del Proceso,Especialidad en Derecho de Amparo,1237,AULA MAGNA,2023-03-07,2023-03-14,Martes,19:00:00 ,22:00:00 
Teoría del Proceso,Especialidad en Derecho de Amparo,1237,AULA MAGNA,2023-03-07,2023-03-14,Jueves,19:00:00 ,22:00:00 
Control y Defensa de la Consti,Especialidad en Derecho de Amparo,1239,AULA MAGNA,2023-03-15,2023-03-23,Martes,19:00:00 ,22:00:00 
Control y Defensa de la Consti,Especialidad en Derecho de Amparo,1239,AULA MAGNA,2023-03-15,2023-03-23,Jueves,19:00:00 ,22:00:00 
Control y Defensa de la Consti,Especialidad en Derecho de Amparo,1239,AULA MAGNA,2023-03-15,2023-03-23,Martes,19:00:00 ,22:00:00 
Control y Defensa de la Consti,Especialidad en Derecho de Amparo,1239,AULA MAGNA,2023-03-15,2023-03-23,Jueves,19:00:00 ,22:00:00 
La Suspensión del Acto Reclama,Especialidad en Derecho de Amparo,1240,AULA MAGNA,2023-03-28,2023-04-13,Martes,19:00:00 ,22:00:00 
La Suspensión del Acto Reclama,Especialidad en Derecho de Amparo,1240,AULA MAGNA,2023-03-28,2023-04-13,Jueves,19:00:00 ,22:00:00 
La Suspensión del Acto Reclama,Especialidad en Derecho de Amparo,1240,AULA MAGNA,2023-03-28,2023-04-13,Martes,19:00:00 ,22:00:00 
La Suspensión del Acto Reclama,Especialidad en Derecho de Amparo,1240,AULA MAGNA,2023-03-28,2023-04-13,Jueves,19:00:00 ,22:00:00 
Diversas Cuestiones Procesales,Especialidad en Derecho de Amparo,1241,AULA MAGNA,2023-04-18,2023-05-02,Jueves,19:00:00 ,22:00:00 
Diversas Cuestiones Procesales,Especialidad en Derecho de Amparo,1241,AULA MAGNA,2023-04-18,2023-05-02,Martes,19:00:00 ,22:00:00 
Diversas Cuestiones Procesales,Especialidad en Derecho de Amparo,1241,AULA MAGNA,2023-04-18,2023-05-02,Martes,19:00:00 ,22:00:00 
Diversas Cuestiones Procesales,Especialidad en Derecho de Amparo,1241,AULA MAGNA,2023-04-18,2023-05-02,Jueves,19:00:00 ,22:00:00 
Improcedencia y Sobreseimiento,Especialidad en Derecho de Amparo,1242,AULA MAGNA,2023-05-09,2023-05-18,Martes,19:00:00 ,22:00:00 
Improcedencia y Sobreseimiento,Especialidad en Derecho de Amparo,1242,AULA MAGNA,2023-05-09,2023-05-18,Jueves,19:00:00 ,22:00:00 
Improcedencia y Sobreseimiento,Especialidad en Derecho de Amparo,1242,AULA MAGNA,2023-05-09,2023-05-18,Martes,19:00:00 ,22:00:00 
Improcedencia y Sobreseimiento,Especialidad en Derecho de Amparo,1242,AULA MAGNA,2023-05-09,2023-05-18,Jueves,19:00:00 ,22:00:00 
Las Sentencias y los Recursos,Especialidad en Derecho de Amparo,1243,R 03,2023-05-23,2023-06-13,Jueves,19:00:00 ,22:00:00 
Las Sentencias y los Recursos,Especialidad en Derecho de Amparo,1243,R 03,2023-05-23,2023-06-13,Martes,19:00:00 ,22:00:00 
Las Sentencias y los Recursos,Especialidad en Derecho de Amparo,1243,R 03,2023-05-23,2023-06-13,Martes,19:00:00 ,22:00:00 
Las Sentencias y los Recursos,Especialidad en Derecho de Amparo,1243,R 03,2023-05-23,2023-06-13,Jueves,19:00:00 ,22:00:00 
Amparo Contra Leyes,Especialidad en Derecho de Amparo,1244,R 03,2023-06-22,2023-07-06,Jueves,19:00:00 ,22:00:00 
Amparo Contra Leyes,Especialidad en Derecho de Amparo,1244,R 03,2023-06-22,2023-07-06,Martes,19:00:00 ,22:00:00 
Amparo Civil,Especialidad en Derecho de Amparo,1245,R 03,2023-08-10,2023-08-29,Jueves,19:00:00 ,22:00:00 
Amparo Civil,Especialidad en Derecho de Amparo,1245,R 03,2023-08-10,2023-08-29,Martes,19:00:00 ,22:00:00 
Amparo Penal,Especialidad en Derecho de Amparo,1246,R 03,2023-09-19,2023-10-03,Martes,19:00:00 ,22:00:00 
Amparo Penal,Especialidad en Derecho de Amparo,1246,R 03,2023-09-19,2023-10-03,Jueves,19:00:00 ,22:00:00 
Amparo Laboral,Especialidad en Derecho de Amparo,1247,R 03,2023-10-05,2023-10-17,Martes,19:00:00 ,22:00:00 
Amparo Laboral,Especialidad en Derecho de Amparo,1247,R 03,2023-10-05,2023-10-17,Jueves,19:00:00 ,22:00:00 
Amparo Administrativo y Fiscal,Especialidad en Derecho de Amparo,1248,R 03,2023-09-06,2023-09-13,Miércoles,19:00:00 ,22:00:00 
Amparo Administrativo y Fiscal,Especialidad en Derecho de Amparo,1248,R 03,2023-09-05,2023-09-14,Martes,19:00:00 ,22:00:00 
Amparo Administrativo y Fiscal,Especialidad en Derecho de Amparo,1248,R 03,2023-09-05,2023-09-14,Jueves,19:00:00 ,22:00:00 
Amparo Agrario,Especialidad en Derecho de Amparo,1249,R 03,2023-10-19,2023-10-31,Jueves,19:00:00 ,22:00:00 
Amparo Agrario,Especialidad en Derecho de Amparo,1249,R 03,2023-10-19,2023-10-31,Martes,19:00:00 ,22:00:00 
La Jurisprudencia,Especialidad en Derecho de Amparo,1250,R 03,2023-11-01,2023-11-01,Miércoles,19:00:00 ,22:00:00 
La Jurisprudencia,Especialidad en Derecho de Amparo,1250,R 03,2023-11-07,2023-11-09,Jueves,19:00:00 ,22:00:00 
La Jurisprudencia,Especialidad en Derecho de Amparo,1250,R 03,2023-11-07,2023-11-09,Martes,19:00:00 ,22:00:00 
Seminario de Temas Selectos,Especialidad en Derecho de Amparo,1251,R 03,2023-11-14,2023-11-14,Martes,19:00:00 ,22:00:00 
Seminario de Temas Selectos,Especialidad en Derecho de Amparo,1251,R 03,2023-11-15,2023-11-15,Miércoles,19:00:00 ,22:00:00 
Marco Teórico del Empresario y,Especialidad en Derecho de la Empresa,7399,R 05,2023-02-15,2023-02-22,Lunes,19:00:00 ,22:00:00 
Marco Teórico del Empresario y,Especialidad en Derecho de la Empresa,7399,R 05,2023-02-15,2023-02-22,Miércoles,19:00:00 ,22:00:00 
Marco Teórico del Empresario y,Especialidad en Derecho de la Empresa,7399,R 05,2023-02-15,2023-02-22,Jueves,19:00:00 ,22:00:00 
Responsabilidad Social y Ética,Especialidad en Derecho de la Empresa,7402,R 02,2023-02-27,2023-03-02,Lunes,19:00:00 ,22:00:00 
Responsabilidad Social y Ética,Especialidad en Derecho de la Empresa,7402,R 02,2023-02-27,2023-03-02,Miércoles,19:00:00 ,22:00:00 
Responsabilidad Social y Ética,Especialidad en Derecho de la Empresa,7402,R 02,2023-02-27,2023-03-02,Jueves,19:00:00 ,22:00:00 
Interpretación de Contabilidad,Especialidad en Derecho de la Empresa,7406,,2023-03-06,2023-03-09,Lunes,19:00:00 ,22:00:00 
Interpretación de Contabilidad,Especialidad en Derecho de la Empresa,7406,,2023-03-06,2023-03-09,Miércoles,19:00:00 ,22:00:00 
Interpretación de Contabilidad,Especialidad en Derecho de la Empresa,7406,,2023-03-06,2023-03-09,Jueves,19:00:00 ,22:00:00 
Aspectos Jurídico-Corporativos,Especialidad en Derecho de la Empresa,7407,,2023-03-13,2023-04-13,Lunes,19:00:00 ,22:00:00 
Aspectos Jurídico-Corporativos,Especialidad en Derecho de la Empresa,7407,,2023-03-13,2023-04-13,Miércoles,19:00:00 ,22:00:00 
Aspectos Jurídico-Corporativos,Especialidad en Derecho de la Empresa,7407,,2023-03-13,2023-04-13,Jueves,19:00:00 ,22:00:00 
Aspectos Jurídico-Corporativos,Especialidad en Derecho de la Empresa,7408,,2023-04-17,2023-05-04,Lunes,19:00:00 ,22:00:00 
Aspectos Jurídico-Corporativos,Especialidad en Derecho de la Empresa,7408,,2023-04-17,2023-05-04,Miércoles,19:00:00 ,22:00:00 
Aspectos Jurídico-Corporativos,Especialidad en Derecho de la Empresa,7408,,2023-04-17,2023-05-04,Jueves,19:00:00 ,22:00:00 
