 f,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Análisis de Riesgos,Doctorado en Ciencias Empresariales,1178,R 04,2023-01-12,2023-05-11,Jueves,19:00:00 ,22:00:00 
Desarrollo de Contenidos Audio,Doctorado en Ciencias Empresariales,1157,R 10,2023-01-13,2023-02-04,Viernes,18:00:00 ,21:00:00 
Desarrollo de Contenidos Audio,Doctorado en Ciencias Empresariales,1157,R 46,2023-01-13,2023-02-04,Sábado,9:00:00 ,12:00:00 
Desarrollo de Contenidos Audio,Doctorado en Ciencias Empresariales,1157,R 03,2023-01-12,2023-05-11,Jueves,19:00:00 ,22:00:00 
Empresa Audiovisual y Marco No,Doctorado en Ciencias Empresariales,1158,R 10,2023-02-17,2023-03-11,Viernes,18:00:00 ,21:00:00 
Empresa Audiovisual y Marco No,Doctorado en Ciencias Empresariales,1158,R 46,2023-02-17,2023-03-11,Sábado,9:00:00 ,12:00:00 
Empresa Audiovisual y Marco No,Doctorado en Ciencias Empresariales,1158,R 03,2023-01-14,2023-05-13,Sábado,9:00:00 ,12:00:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,R 02,2023-01-10,2023-01-31,Martes,19:00:00 ,22:00:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,R 02,2023-04-25,2023-05-16,Martes,19:00:00 ,22:00:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,R 02,2023-04-18,2023-04-18,Martes,19:00:00 ,22:00:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,R 04,2023-02-14,2023-03-28,Martes,19:00:00 ,22:00:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,JEREZ 01,2023-03-03,2023-03-08,Lunes,7:00:00 ,9:30:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,JEREZ 01,2023-03-03,2023-03-08,Miercoles,7:00:00 ,9:30:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,JEREZ 01,2023-03-03,2023-03-08,Viernes,7:00:00 ,9:30:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,JEREZ 01,2023-03-10,2023-03-15,Lunes,7:00:00 ,9:30:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,JEREZ 01,2023-03-10,2023-03-15,Miercoles,7:00:00 ,9:30:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,JEREZ 01,2023-03-10,2023-03-15,Viernes,7:00:00 ,9:30:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,JEREZ 01,2023-03-03,2023-03-08,Lunes,7:00:00 ,9:30:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,JEREZ 01,2023-03-03,2023-03-08,Miercoles,7:00:00 ,9:30:00 
Finanzas Corporativas,Doctorado en Ciencias Empresariales,1141,JEREZ 01,2023-03-03,2023-03-08,Viernes,7:00:00 ,9:30:00 
