Módulo,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Estrategia de Comunicación y P,Maestría en Comunicaciones de Marca ,10923,NR 09,2023-03-07,2023-03-30,Martes,19:00:00 ,22:00:00 
Estrategia de Comunicación y P,Maestría en Comunicaciones de Marca,10923,NR09,2023-03-07,2023-03-30,Jueves,19:00:00 ,22:00:00 
Seminario de Titulación,Maestría en Comunicaciones de Marca,10925,R48,2023-03-07,2023-03-23,Martes,19:00:00 ,22:00:00 
Seminario de Titulación,Maestría en Comunicaciones de Marca,10925,R48,2023-03-07,2023-03-23,Jueves,19:00:00 ,22:00:00 
Comunicación en Situaciones de,Maestría en Comunicación Institucional,1119,NR 08 ,2023-02-18,2023-03-25,Sábado,9:00:00 ,12:00:00 
Comunicación en Situaciones de,Maestría en Comunicación Institucional,1119,NR 08,2023-02-18,2023-03-25,Jueves,19:00:00 ,22:00:00 
Seminario de Titulación,Maestría en Comunicación Política y Pública,1105,R 07,2023-03-10,2023-03-18,Viernes,18:00:00 ,21:00:00 
Seminario de Titulación,Maestría en Comunicación Política y Pública,1105,R 14,2023-03-10,2023-03-18,Sábado,9:00:00 ,12:00:00 
Seminario de Titulación,Maestría en Comunicación Política y Pública,1105,R 07,2023-03-22,2023-03-22,Miércoles,18:00:00 ,21:00:00 
Seminario de Titulación,Maestría en Comunicación Política y Pública,1105,R 14,2023-03-23,2023-03-23,Jueves,9:00:00 ,12:00:00 
