nombre_modulo,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
"Buen Gobierno, prevención y combate a la corrupción",Maestría en Anticorrupción,10244,SF_6-5,2023-03-02,2023-04-27,jueves,16:30:00 ,21:30:00 
"Buen Gobierno, prevención y combate a la corrupción",Maestría en Anticorrupción,10244,SF_6-5,2023-04-20,2023-04-27,jueves,17:00:00 ,21:00:00 
"Buen Gobierno, prevención y combate a la corrupción",Maestría en Anticorrupción,10244,SF_6-5,2023-03-07,2023-04-28,martes,16:30:00 ,21:30:00 
Marco internacional de la prevención y combate a la corrupción,Maestría en Anticorrupción,10506,SF_6-5,2023-05-02,2023-05-02,martes,17:30:00 ,21:30:00 
Marco internacional de la prevención y combate a la corrupción,Maestría en Anticorrupción,10506,SF_6-5,2023-05-04,2023-05-04,jueves,17:30:00 ,21:30:00 
Marco internacional de la prevención y combate a la corrupción,Maestría en Anticorrupción,10506,SF_6-5,2023-05-09,2023-05-09,martes,16:30:00 ,22:00:00 
Marco internacional de la prevención y combate a la corrupción,Maestría en Anticorrupción,10506,SF_6-5,2023-05-11,2023-05-11,jueves,16:00:00 ,21:30:00 
Marco internacional de la prevención y combate a la corrupción,Maestría en Anticorrupción,10506,SF_6-5,2023-05-16,2023-05-16,martes,16:30:00 ,21:00:00 
Marco internacional de la prevención y combate a la corrupción,Maestría en Anticorrupción,10506,SF_6-5,2023-05-18,2023-05-18,jueves,16:30:00 ,21:00:00 
Marco internacional de la prevención y combate a la corrupción,Maestría en Anticorrupción,10506,SF_6-5,2023-05-23,2023-05-30,martes,17:00:00 ,22:00:00 
Marco internacional de la prevención y combate a la corrupción,Maestría en Anticorrupción,10506,SF_6-5,2023-05-25,2023-05-25,jueves,17:00:00 ,22:00:00 
