nombre_modulo,programa,no_clase,salon,Campus,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,SF_6-1,Santa Fe,2023-01-16,2023-01-16,Lunes,19:00:00 ,22:00:00 
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,SF_6-1,Santa Fe,2023-01-18,2023-01-18,Miercoles,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-01-23,2023-01-23,Lunes,19:00:00 ,22:00:00 
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,SF_6-1,Santa Fe,2023-01-23,2023-01-23,Lunes,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-01-25,2023-01-25,Miercoles,19:00:00 ,22:00:00 
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,SF_6-1,Santa Fe,2023-01-25,2023-01-25,Miercoles,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-01-30,2023-01-30,Lunes,19:00:00 ,22:00:00 
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,SF_6-1,Santa Fe,2023-01-30,2023-01-30,Lunes,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-02-01,2023-02-01,Miercoles,19:00:00 ,22:00:00 
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,SF_6-1,Santa Fe,2023-02-01,2023-02-01,Miercoles,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-02-06,2023-02-06,Lunes,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-02-08,2023-02-08,Miercoles,19:00:00 ,22:00:00 
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,SF_6-1,Santa Fe,2023-02-08,2023-02-08,Miercoles,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-02-13,2023-02-13,Lunes,19:00:00 ,22:00:00 
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,SF_6-1,Santa Fe,2023-02-13,2023-02-13,Lunes,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-02-15,2023-02-15,Miercoles,19:00:00 ,22:00:00 
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,SF_6-1,Santa Fe,2023-02-15,2023-02-15,Miercoles,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-02-20,2023-02-20,Lunes,19:00:00 ,22:00:00 
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,SF_6-1,Santa Fe,2023-02-20,2023-02-20,Lunes,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-02-22,2023-02-22,Miercoles,19:00:00 ,22:00:00 
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,SF_6-1,Santa Fe,2023-02-22,2023-02-22,Miercoles,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-02-27,2023-02-27,Lunes,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-03-01,2023-03-01,Miercoles,19:00:00 ,22:00:00 
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,SF_6-3,Santa Fe,2023-03-06,2023-03-06,Lunes,19:00:00 ,22:00:00 
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,SF_6-1,Santa Fe,2023-03-06,2023-03-06,Lunes,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-03-08,2023-03-08,Miercoles,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-03-08,2023-03-08,Miercoles,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-03-13,2023-03-13,Lunes,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-03-13,2023-03-13,Lunes,19:00:00 ,22:00:00 
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,SF_6-3,Santa Fe,2023-03-15,2023-03-15,Miercoles,19:00:00 ,22:00:00 
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,SF_6-1,Santa Fe,2023-03-15,2023-03-15,Miercoles,19:00:00 ,22:00:00 
