nombre_modulo,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Finanzas Públicas,Maestría en Gobierno y Políticas Públicas,10653,SF_6-4,2023-01-13,2023-01-13,Viernes,16:00:00 ,21:00:00 
Finanzas Públicas,Maestría en Gobierno y Políticas Públicas,10653,SF_6-4,2023-01-14,2023-01-14,Sábado,9:00:00 ,14:00:00 
Finanzas Públicas,Maestría en Gobierno y Políticas Públicas,10653,SF_6-4,2023-02-03,2023-02-03,Viernes,16:00:00 ,21:00:00 
Finanzas Públicas,Maestría en Gobierno y Políticas Públicas,10653,SF_6-4,2023-02-04,2023-02-04,Sábado,9:00:00 ,14:00:00 
Finanzas Públicas,Maestría en Gobierno y Políticas Públicas,10653,SF_6-4,2023-02-10,2023-02-10,Viernes,16:00:00 ,21:00:00 
Finanzas Públicas,Maestría en Gobierno y Políticas Públicas,10653,SF_6-4,2023-02-11,2023-02-11,Sábado,9:00:00 ,14:00:00 
Finanzas Públicas,Maestría en Gobierno y Políticas Públicas,10653,SF_6-4,2023-02-17,2023-02-17,Viernes,16:00:00 ,19:00:00 
Políticas Públicas,Maestría en Gobierno y Políticas Públicas,10654,SF_6-4,2023-02-24,2023-03-26,Viernes,16:00:00 ,21:00:00 
Políticas Públicas,Maestría en Gobierno y Políticas Públicas,10654,SF_6-4,2023-02-25,2023-02-25,Sábado,9:00:00 ,14:00:00 
Políticas Públicas,Maestría en Gobierno y Políticas Públicas,10654,SF_6-4,2023-03-03,2023-03-03,Viernes,16:00:00 ,21:00:00 
Políticas Públicas,Maestría en Gobierno y Políticas Públicas,10654,SF_6-4,2023-03-04,2023-03-04,Sábado,9:00:00 ,14:00:00 
Políticas Públicas,Maestría en Gobierno y Políticas Públicas,10654,SF_6-4,2023-03-10,2023-03-10,Viernes,16:00:00 ,21:00:00 
Políticas Públicas,Maestría en Gobierno y Políticas Públicas,10654,SF_6-4,2023-03-11,2023-03-11,Viernes,16:00:00 ,21:00:00 
Políticas Públicas,Maestría en Gobierno y Políticas Públicas,10654,SF_6-4,2023-03-24,2023-03-24,Sábado,16:00:00 ,19:00:00 
Políticas Públicas,Maestría en Gobierno y Políticas Públicas,10654,SF_6-4,2023-03-25,2023-03-25,Sábado,9:00:00 ,10:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-01-20,2023-01-20,Viernes,16:00:00 ,21:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-02-10,2023-02-10,Viernes,16:00:00 ,21:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-02-11,2023-02-11,Sábado,9:00:00 ,14:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-02-17,2023-02-17,Viernes,16:00:00 ,21:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-02-18,2023-02-18,Sábado,9:00:00 ,14:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-02-24,2023-02-24,Viernes,16:00:00 ,21:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-02-25,2023-02-25,Sábado,9:00:00 ,14:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-03-03,2023-03-03,Viernes,16:00:00 ,21:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-03-04,2023-03-04,Sábado,9:00:00 ,14:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-03-10,2023-03-10,Viernes,16:00:00 ,21:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-03-11,2023-03-11,Sábado,9:00:00 ,14:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-03-24,2023-03-24,Viernes,16:00:00 ,21:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,IDPO,,2023-03-25,2023-03-25,Sábado,9:00:00 ,14:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-03-31,2023-03-31,Viernes,16:00:00 ,21:00:00 
Ideas Políticas,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-04-01,2023-04-01,Sábado,9:00:00 ,14:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-04-21,2023-04-21,Viernes,16:00:00 ,21:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-04-22,2023-04-22,Sábado,9:00:00 ,14:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-05-05,2023-05-05,Viernes,16:00:00 ,21:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-05-06,2023-05-06,Sábado,9:00:00 ,14:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-05-12,2023-05-12,Viernes,16:00:00 ,21:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-05-13,2023-05-13,Sábado,9:00:00 ,14:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-05-19,2023-05-19,Viernes,16:00:00 ,21:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-05-20,2023-05-20,Sábado,9:00:00 ,14:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-05-26,2023-05-26,Viernes,16:00:00 ,21:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-05-27,2023-05-27,Sábado,9:00:00 ,14:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-06-01,2023-06-01,Viernes,16:00:00 ,21:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-06-02,2023-06-02,Sábado,9:00:00 ,14:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-06-08,2023-06-08,Viernes,16:00:00 ,21:00:00 
Gobierno de Instituciones,Maestría en Gobierno y Políticas Públicas,GOBI,SF_6-4,2023-06-23,2023-06-23,Viernes,16:00:00 ,21:00:00 
Financiamiento del delito y su,Maestría en Anticorrupción,11614,SF_6-5,2022-12-02,2022-12-02,Viernes,16:00:00 ,20:00:00 
Financiamiento del delito y su,Maestría en Anticorrupción,11614,SF_6-5,2022-12-03,2022-12-03,Sábado,9:00:00 ,13:00:00 
Financiamiento del delito y su,Maestría en Anticorrupción,11614,SF_6-5,2022-12-09,2022-12-09,Viernes,16:00:00 ,13:00:00 
Financiamiento del delito y su,Maestría en Anticorrupción,11614,SF_6-5,2022-12-10,2022-12-10,Sábado,9:00:00 ,13:00:00 
Financiamiento del delito y su,Maestría en Anticorrupción,11614,SF_6-5,2023-01-13,2023-01-13,Viernes,16:00:00 ,13:00:00 
Financiamiento del delito y su,Maestría en Anticorrupción,11614,SF_6-5,2023-01-14,2023-01-14,Sábado,9:00:00 ,13:00:00 
Financiamiento del delito y su,Maestría en Anticorrupción,11614,SF_6-5,2023-01-20,2023-01-20,Viernes,16:00:00 ,13:00:00 
Financiamiento del delito y su,Maestría en Anticorrupción,11614,SF_6-5,2023-01-27,2023-01-27,Viernes,16:00:00 ,13:00:00 
Financiamiento del delito y su,Maestría en Anticorrupción,11614,SF_6-5,2023-01-28,2023-01-28,Sábado,9:00:00 ,13:00:00 
Financiamiento del delito y su,Maestría en Anticorrupción,11614,SF_6-5,2023-02-10,2023-02-10,Viernes,16:00:00 ,13:00:00 
Financiamiento del delito y su,Maestría en Anticorrupción,11614,SF_6-5,2023-02-11,2023-02-11,Sábado,9:00:00 ,13:00:00 
Financiamiento del delito y su,Maestría en Anticorrupción,11614,SF_6-5,2023-02-24,2023-02-24,Viernes,16:00:00 ,20:00:00 
Fiscalización y rendición de,Maestría en Anticorrupción,11609,SF_6-5,2023-03-03,2023-03-03,Viernes,16:00:00 ,20:00:00 
Fiscalización y rendición de,Maestría en Anticorrupción,11609,SF_6-5,2023-03-04,2023-03-04,Sábado,9:00:00 ,13:00:00 
Fiscalización y rendición de,Maestría en Anticorrupción,11609,SF_6-5,2023-03-10,2023-03-10,Viernes,9:00:00 ,13:00:00 
Fiscalización y rendición de,Maestría en Anticorrupción,11609,SF_6-5,2023-03-11,2023-03-11,Sábado,9:00:00 ,13:00:00 
Fiscalización y rendición de,Maestría en Anticorrupción,11609,SF_6-5,2023-03-17,2023-03-17,Viernes,16:00:00 ,20:00:00 
Fiscalización y rendición de,Maestría en Anticorrupción,11609,SF_6-5,2023-03-31,2023-03-31,Viernes,16:00:00 ,20:00:00 
Políticas Públicas y combate a,Maestría en Anticorrupción,11608,SF_6-5,2023-05-12,2023-05-12,Viernes,16:00:00 ,21:00:00 
Políticas Públicas y combate a,Maestría en Anticorrupción,11608,SF_6-5,2023-05-13,2023-05-13,Sábado,9:00:00 ,13:00:00 
Políticas Públicas y combate a,Maestría en Anticorrupción,11608,SF_6-5,2023-05-19,2023-05-19,Viernes,16:00:00 ,20:00:00 
Políticas Públicas y combate a,Maestría en Anticorrupción,11608,SF_6-5,2023-05-20,2023-05-20,Sábado,9:00:00 ,13:00:00 
Políticas Públicas y combate a,Maestría en Anticorrupción,11608,SF_6-5,2023-05-26,2023-05-26,Viernes,16:00:00 ,21:00:00 
Políticas Públicas y combate a,Maestría en Anticorrupción,11608,SF_6-5,2023-05-27,2023-05-27,Sábado,9:00:00 ,14:00:00 
Políticas Públicas y combate a,Maestría en Anticorrupción,11608,SF_6-5,2023-06-02,2023-06-02,Viernes,16:00:00 ,20:00:00 
Políticas Públicas y combate a,Maestría en Anticorrupción,11608,SF_6-5,2023-06-03,2023-06-03,Sábado,9:00:00 ,14:00:00 
