nombre_modulo,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Análisis de Grandes Volúmenes,Especialidad en Simuladores Gráficos,1465,SF_6-2,2023-01-03,2023-02-14,Martes,13:00:00 ,16:00:00 
Análisis de Grandes Volúmenes,Especialidad en Simuladores Gráficos,1465,SF_6-2,2023-01-03,2023-02-14,Martes,13:00:00 ,16:00:00 
Servicio de alimentos y bebida,Especialidad en Ingeniería y Gestión Ambiental,1455,R 44,2023-01-04,2023-01-11,Lunes,19:00:00 ,22:00:00 
Servicio de alimentos y bebida,Especialidad en Ingeniería y Gestión Ambiental,1455,R 44,2023-01-04,2023-01-11,Miercoles,19:00:00 ,22:00:00 
Seminario de Actualización en,Maestría en Ingeniería,1518,JEREZ 04,2023-01-13,2023-01-27,Viernes,18:00:00 ,22:00:00 
Seminario de Actualización en,Maestría en Ingeniería,1518,JEREZ 04,2023-01-13,2023-01-27,Sábado,10:00:00 ,14:00:00 
Gestión del cambio,Maestría en Ingeniería,1408,C 01,2023-01-14,2023-03-18,Sábado,11:00:00 ,14:00:00 
Gestión del cambio,Maestría en Ingeniería,1410,C 02,2023-01-14,2023-03-18,Sábado,11:00:00 ,14:00:00 
Gestión del cambio,Especialidad en Ingeniería y Gestión de Proyectos,1407,C 01,2023-01-14,2023-03-18,Sábado,11:00:00 ,14:00:00 
Gestión del cambio,Especialidad en Ingeniería y Gestión de Proyectos,1409,C 02,2023-01-14,2023-03-18,Sábado,11:00:00 ,14:00:00 
Monetización de la Innovación,Maestría en Ciencia de Datos,1417,C 02,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Monetización de la Innovación,Especialidad en Ingeniería y Gestión Ambiental,1412,C 02,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Monetización de la Innovación,Especialidad en Dirección de Operaciones,1411,C 02,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Monetización de la Innovación,Especialidad en Ingeniería y Gestión de Proyectos,1413,C 02,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Monetización de la Innovación,Especialidad en Logística Internacional,1414,C 02,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Monetización de la Innovación,Especialidad en Robótica y Manufactura,1415,C 02,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Monetización de la Innovación,Especialidad en Simuladores Gráficos,1416,C 02,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Planeación estratégica,Maestría en Ciencia de Datos,1424,C 01,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Planeación estratégica,Especialidad en Ingeniería y Gestión Ambiental,1419,C 01,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Planeación estratégica,Especialidad en Dirección de Operaciones,1418,C 01,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Planeación estratégica,Especialidad en Ingeniería y Gestión de Proyectos,1420,C 01,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Planeación estratégica,Especialidad en Logística Internacional,1421,C 01,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Planeación estratégica,Especialidad en Robótica y Manufactura,1422,C 01,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Planeación estratégica,Especialidad en Simuladores Gráficos,1423,C 01,2023-01-14,2023-03-04,Sábado,8:00:00 ,11:00:00 
Sistemas de ayuda a la decisió,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1427,P 03,2023-01-14,2023-03-18,Sábado,11:00:00 ,14:00:00 
Sistemas de ayuda a la decisió,Especialidad en Dirección de Operaciones,1425,P 03,2023-01-14,2023-03-18,Sábado,11:00:00 ,14:00:00 
Sistemas de ayuda la decisión,Maestría en Ingeniería,1426,P 03,2023-01-14,2023-03-18,Sábado,11:00:00 ,14:00:00 
Administración de los Sistemas,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1430,R_31,2023-01-16,2023-03-27,Lunes,19:00:00 ,22:00:00 
Administración de los Sistemas,Maestría en Ingeniería,1429,R_31,2023-01-16,2023-03-27,Lunes,19:00:00 ,22:00:00 
Administración de los Sistemas,Especialidad en Dirección de Operaciones,1428,R_31,2023-01-16,2023-03-27,Lunes,19:00:00 ,22:00:00 
Comercio electrónico y estánda,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1433,NR 02,2023-01-16,2023-03-27,Lunes,19:00:00 ,22:00:00 
Comercio electrónico y estánda,Maestría en Ingeniería,1432,NR 02,2023-01-16,2023-03-27,Lunes,19:00:00 ,22:00:00 
Comercio electrónico y estánda,Especialidad en Logística Internacional,1431,NR 02,2023-01-16,2023-03-27,Lunes,19:00:00 ,22:00:00 
Ingeniería de Proyectos,Maestría en Ingeniería,1435,V_LAB_COM1,2023-01-16,2023-03-27,Lunes,19:00:00 ,22:00:00 
Ingeniería de Proyectos,Especialidad en Ingeniería y Gestión de Proyectos,1434,V_LAB_COM1,2023-01-16,2023-03-27,Lunes,19:00:00 ,22:00:00 
Materiales y Procesos para la,Especialidad en Ingeniería y Gestión Ambiental,1436,NR 01,2023-01-16,2023-03-27,Lunes,19:00:00 ,22:00:00 
Materiales y Procesos para la,Maestría en Ingeniería,1437,NR 01,2023-01-16,2023-03-27,Lunes,19:00:00 ,22:00:00 
Plan de operación de negocios,Especialidad en Dirección de Operaciones,1448,R 44,2023-01-16,2023-01-25,Lunes,19:00:00 ,22:00:00 
