nombre_modulo,programa,no_clase,salon,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Análisis de Grandes Volúmenes,Especialidad en Dirección de Operaciones,1401,V_LAB_COM1,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Análisis de Grandes Volúmenes,Especialidad en Ingeniería y Gestión Ambiental,1402,V_LAB_COM1,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Análisis de Grandes Volúmenes,Especialidad en Ingeniería y Gestión de Proyectos,1403,V_LAB_COM1,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Análisis de Grandes Volúmenes,Especialidad en Logística Internacional,1404,V_LAB_COM1,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Análisis de Grandes Volúmenes,Especialidad en Robótica y Manufactura,1405,V_LAB_COM1,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Análisis de Grandes Volúmenes,Especialidad en Simuladores Gráficos,1406,V_LAB_COM1,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Gestión del cambio,Especialidad en Ingeniería y Gestión de Proyectos,1407,NR 04,2023-01-14,2023-03-18,Sábado,11:00 AM,02:00 PM
Gestión del cambio,Maestría en Ingeniería,1408,NR 04,2023-01-14,2023-03-18,Sábado,11:00 AM,02:00 PM
Gestión del cambio,Especialidad en Ingeniería y Gestión de Proyectos,1409,R 34,2023-01-14,2023-03-18,Sábado,11:00 AM,02:00 PM
Gestión del cambio,Maestría en Ingeniería,1410,R 34,2023-01-14,2023-03-18,Sábado,11:00 AM,02:00 PM
Monetización de la Innovación,Especialidad en Dirección de Operaciones,1411,R 34,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Monetización de la Innovación,Especialidad en Ingeniería y Gestión de Proyectos,1413,R 34,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Monetización de la Innovación,Especialidad en Simuladores Gráficos,1416,R 34,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Monetización de la Innovación,Maestría en Ciencia de Datos,1417,R 34,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Planeación estratégica,Especialidad en Ingeniería y Gestión Ambiental,1419,NR 04,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Planeación estratégica,Especialidad en Ingeniería y Gestión de Proyectos,1420,NR 04,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Planeación estratégica,Maestría en Ciencia de Datos,1424,NR 04,2023-01-14,2023-03-04,Sábado,08:00 AM,11:00 AM
Sistemas de ayuda a la decisió,Especialidad en Dirección de Operaciones,1425,V_LAB_COM1,2023-01-14,2023-03-18,Sábado,11:00 AM,02:00 PM
Sistemas de ayuda la decisión,Maestría en Ingeniería,1426,V_LAB_COM1,2023-01-14,2023-03-18,Sábado,11:00 AM,02:00 PM
Administración de los Sistemas,Especialidad en Dirección de Operaciones,1428,R 31,2023-01-16,2023-03-27,Lunes,07:00 PM,10:00 PM
Administración de los Sistemas,Especialidad en Dirección de Operaciones,1428,R 31,2023-03-21,2023-03-21,Martes,07:00 PM,10:00 PM
