nombre_modulo,programa,no_clase,salon,Campus,fecha_inicio,fecha_fin,dia,hora_inicio,hora_fin
Temas Selectos de Dirección de,Maestría en Dirección de Instituciones Educativas,8784,SF_65,Santa Fe,2023-01-11,2023-01-11,Miércoles,17:00:00 ,21:00:00 
Temas Selectos de Dirección de,Maestría en Dirección de Instituciones Educativas,8784,SF_65,Santa Fe,2023-01-16,2023-01-16,Lunes,17:00:00 ,21:30:00 
Temas Selectos de Dirección de,Maestría en Dirección de Instituciones Educativas,8784,SF_65,Santa Fe,2023-01-18,2023-01-18,Miércoles,17:00:00 ,21:00:00 
Temas Selectos de Dirección de,Maestría en Dirección de Instituciones Educativas,8784,SF_65,Santa Fe,2023-01-23,2023-01-23,Lunes,17:00:00 ,21:30:00 
Temas Selectos de Dirección de,Maestría en Dirección de Instituciones Educativas,8784,SF_65,Santa Fe,2023-01-25,2023-01-25,Miércoles,17:00:00 ,21:30:00 
Temas Selectos de Dirección de,Maestría en Dirección de Instituciones Educativas,8785,SF_65,Santa Fe,2023-01-11,2023-01-11,Miércoles,17:00:00 ,21:00:00 
Temas Selectos de Dirección de,Maestría en Dirección de Instituciones Educativas,8785,SF_65,Santa Fe,2023-01-16,2023-01-16,Lunes,17:00:00 ,21:30:00 
Temas Selectos de Dirección de,Maestría en Dirección de Instituciones Educativas,8785,SF_65,Santa Fe,2023-01-18,2023-01-18,Miércoles,17:00:00 ,21:00:00 
Temas Selectos de Dirección de,Maestría en Dirección de Instituciones Educativas,8785,SF_65,Santa Fe,2023-01-23,2023-01-23,Lunes,17:00:00 ,21:30:00 
Temas Selectos de Dirección de,Maestría en Dirección de Instituciones Educativas,8785,SF_65,Santa Fe,2023-01-25,2023-01-25,Miércoles,17:00:00 ,21:30:00 
Proyecto Educativo,Maestría en Dirección de Instituciones Educativas,7245,SF_65,Santa Fe,2023-02-08,2023-02-08,Miércoles,17:00:00 ,21:00:00 
Proyecto Educativo,Maestría en Dirección de Instituciones Educativas,7245,SF_65,Santa Fe,2023-02-13,2023-02-13,Lunes,17:00:00 ,21:00:00 
Proyecto Educativo,Maestría en Dirección de Instituciones Educativas,7245,SF_65,Santa Fe,2023-02-15,2023-02-15,Miércoles,17:00:00 ,21:00:00 
Proyecto Educativo,Maestría en Dirección de Instituciones Educativas,7245,SF_65,Santa Fe,2023-02-20,2023-02-20,Lunes,17:00:00 ,21:00:00 
Proyecto Educativo,Maestría en Dirección de Instituciones Educativas,7245,SF_65,Santa Fe,2023-02-22,2023-02-22,Miércoles,17:00:00 ,21:00:00 
Proyecto Educativo,Maestría en Dirección de Instituciones Educativas,7245,SF_65,Santa Fe,2023-02-27,2023-02-27,Lunes,17:00:00 ,21:00:00 
Proyecto Educativo,Maestría en Dirección de Instituciones Educativas,7245,SF_65,Santa Fe,2023-03-01,2023-03-01,Miércoles,17:00:00 ,20:00:00 
Proyección del Talento Humano,Maestría en Dirección de Instituciones Educativas,7248,SF_65,Santa Fe,2023-03-13,2023-03-13,Lunes,17:00:00 ,21:00:00 
Proyección del Talento Humano,Maestría en Dirección de Instituciones Educativas,7248,SF_65,Santa Fe,2023-03-15,2023-03-15,Miércoles,17:00:00 ,21:00:00 
Proyección del Talento Humano,Maestría en Dirección de Instituciones Educativas,7248,SF_65,Santa Fe,2023-03-22,2023-03-22,Lunes,17:00:00 ,21:00:00 
Proyección del Talento Humano,Maestría en Dirección de Instituciones Educativas,7248,SF_65,Santa Fe,2023-03-27,2023-03-27,Miércoles,17:00:00 ,21:30:00 
Proyección del Talento Humano,Maestría en Dirección de Instituciones Educativas,7248,SF_65,Santa Fe,2023-03-29,2023-03-29,Lunes,17:00:00 ,21:30:00 
Marco Jurídico de la Institución Educativa,Maestría en Dirección de Instituciones Educativas,7247,SF_65,Santa Fe,2023-04-17,2023-04-17,Lunes,17:00:00 ,21:00:00 
Marco Jurídico de la Institución Educativa,Maestría en Dirección de Instituciones Educativas,7247,SF_65,Santa Fe,2023-04-19,2023-04-19,Miércoles,17:00:00 ,21:00:00 
Marco Jurídico de la Institución Educativa,Maestría en Dirección de Instituciones Educativas,7247,SF_65,Santa Fe,2023-04-24,2023-04-24,Lunes,17:00:00 ,21:00:00 
Marco Jurídico de la Institución Educativa,Maestría en Dirección de Instituciones Educativas,7247,SF_65,Santa Fe,2023-04-26,2023-04-26,Miércoles,17:00:00 ,21:00:00 
Marco Jurídico de la Institución Educativa,Maestría en Dirección de Instituciones Educativas,7247,SF_65,Santa Fe,2023-05-03,2023-05-03,Miércoles,17:00:00 ,21:00:00 
Marco Jurídico de la Institución Educativa,Maestría en Dirección de Instituciones Educativas,7247,SF_65,Santa Fe,2023-05-08,2023-05-08,Lunes,17:00:00 ,21:00:00 
Formación y Evaluación Docente,Maestría en Dirección de Instituciones Educativas,7246,SF_65,Santa Fe,2023-05-17,2023-05-17,Miércoles,17:00:00 ,21:00:00 
Formación y Evaluación Docente,Maestría en Dirección de Instituciones Educativas,7246,SF_65,Santa Fe,2023-05-22,2023-05-22,Lunes,17:00:00 ,21:00:00 
Formación y Evaluación Docente,Maestría en Dirección de Instituciones Educativas,7246,SF_65,Santa Fe,2023-05-24,2023-05-24,Miércoles,17:00:00 ,21:00:00 
Formación y Evaluación Docente,Maestría en Dirección de Instituciones Educativas,7246,SF_65,Santa Fe,2023-05-29,2023-05-29,Lunes,17:00:00 ,21:00:00 
Formación y Evaluación Docente,Maestría en Dirección de Instituciones Educativas,7246,SF_65,Santa Fe,2023-05-31,2023-05-31,Miércoles,17:00:00 ,21:00:00 
Formación y Evaluación Docente,Maestría en Dirección de Instituciones Educativas,7246,SF_65,Santa Fe,2023-06-05,2023-06-05,Lunes,17:00:00 ,21:00:00 
Formación y Evaluación Docente,Maestría en Dirección de Instituciones Educativas,7246,SF_65,Santa Fe,2023-06-07,2023-06-07,Miércoles,17:00:00 ,20:00:00 
Inclusión Educativa,Maestría en Dirección de Instituciones Educativas,7249,SF_65,Santa Fe,2023-06-14,2023-06-14,Miércoles,17:00:00 ,21:00:00 
Inclusión Educativa,Maestría en Dirección de Instituciones Educativas,7249,SF_65,Santa Fe,2023-06-19,2023-06-19,Lunes,17:00:00 ,21:00:00 
Inclusión Educativa,Maestría en Dirección de Instituciones Educativas,7249,SF_65,Santa Fe,2023-06-21,2023-06-21,Miércoles,17:00:00 ,21:00:00 
Inclusión Educativa,Maestría en Dirección de Instituciones Educativas,7249,SF_65,Santa Fe,2023-06-26,2023-06-26,Lunes,17:00:00 ,21:30:00 
Inclusión Educativa,Maestría en Dirección de Instituciones Educativas,7249,SF_65,Santa Fe,2023-06-28,2023-06-28,Miércoles,17:00:00 ,21:30:00 
"Dislexia, hiperactividad y disfunciones cerebrales",Maestría en Neuropsicología y Educación,1172,R 05,Mixcoac,2023-01-10,2023-01-12,Martes,16:00:00 ,20:00:00 
"Dislexia, hiperactividad y disfunciones cerebrales",Maestría en Neuropsicología y Educación,1172,R 13,Mixcoac,2023-01-16,2023-01-16,Lunes,16:00:00 ,20:00:00 
"Dislexia, hiperactividad y disfunciones cerebrales",Maestría en Neuropsicología y Educación,1172,R 13,Mixcoac,2023-01-17,2023-01-17,Martes,16:00:00 ,20:00:00 
"Dislexia, hiperactividad y disfunciones cerebrales",Maestría en Neuropsicología y Educación,1172,R 13,Mixcoac,2023-01-18,2023-01-18,Miercoles,16:00:00 ,20:00:00 
"Dislexia, hiperactividad y disfunciones cerebrales",Maestría en Neuropsicología y Educación,1172,R 13,Mixcoac,2023-01-19,2023-01-19,Jueves,16:00:00 ,20:00:00 
"Dislexia, hiperactividad y disfunciones cerebrales",Maestría en Neuropsicología y Educación,1172,R 13,Mixcoac,2023-01-20,2023-01-20,Viernes,16:00:00 ,20:00:00 
Funcionalidad visual y eficaci,Maestría en Neuropsicología y Educación,1194,R 05,Mixcoac,2023-01-11,2023-01-11,Martes,16:00:00 ,20:00:00 
Funcionalidad visual y eficaci,Maestría en Neuropsicología y Educación,1194,R 05,Mixcoac,2023-01-12,2023-01-12,Miercoles,16:00:00 ,20:00:00 
Funcionalidad visual y eficaci,Maestría en Neuropsicología y Educación,1194,R 05,Mixcoac,2023-01-16,2023-01-16,Lunes,16:00:00 ,20:00:00 
Funcionalidad visual y eficaci,Maestría en Neuropsicología y Educación,1194,R 05,Mixcoac,2023-01-17,2023-01-17,Martes,16:00:00 ,20:00:00 
