No. de clase,Fecha de inicio del módulo,salon,Fecha de fin del módulo,Hora de inicio,Hora de fin,Lu,Ma,Mi,Ju,Vi,Sa
008784,16/01/2023,SF_6-2,16/01/2023,17:00:00,21:00:00,Y,N,N,N,N,N
008784,23/01/2023,SF_6-2,23/01/2023,17:00:00,21:30:00,Y,N,N,N,N,N
008784,18/01/2023,SF_6-2,18/01/2023,17:00:00,21:00:00,N,N,Y,N,N,N
008784,25/01/2023,SF_6-2,25/01/2023,17:00:00,21:30:00,N,N,Y,N,N,N
008784,19/01/2023,SF_6-2,19/01/2023,17:00:00,21:00:00,N,N,N,Y,N,N
001046,18/04/2023,NR 08,11/05/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
011559,16/05/2023,R 12,06/06/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
001047,16/05/2023,NR 08,06/06/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
011557,18/04/2023,R 46,11/05/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
010925,18/04/2023,NR 09,04/05/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
012136,07/03/2023,,23/03/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
010924,07/02/2023,R 07,02/03/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
011554,10/01/2023,R 12,02/02/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
010921,10/01/2023,R 07,02/02/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
011556,07/02/2023,R 02,23/02/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
011556,25/02/2023,R 02,25/02/2023,8:00:00,14:00:00,N,N,N,N,N,Y
001045,07/03/2023,NR 08,30/03/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
010923,07/03/2023,R 07,30/03/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
011563,07/03/2023,R 12,30/03/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
011548,07/03/2023,R 15,30/03/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
011550,16/05/2023,R 12,06/06/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
011549,18/04/2023,R 46,11/05/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
011545,10/01/2023,R 12,02/02/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
011547,25/02/2023,R 02,25/02/2023,8:00:00,14:00:00,N,N,N,N,N,Y
011547,07/02/2023,R 02,23/02/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
010912,07/02/2023,,02/03/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
001038,16/05/2023,NR 08,06/06/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
001037,18/04/2023,NR 08,11/05/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
001036,07/03/2023,NR 08,30/03/2023,19:00:00,22:00:00,N,Y,N,Y,N,N
001375,20/05/2023,R 21,20/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001375,27/05/2023,R 21,24/06/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001360,11/02/2023,R 01,11/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001360,07/01/2023,R 01,04/02/2023,8:00:00,14:00:00,N,N,N,N,N,Y
001376,07/01/2023,R 21,04/02/2023,8:00:00,14:00:00,N,N,N,N,N,Y
001376,11/02/2023,R 21,11/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
012071,10/01/2023,,14/02/2023,18:00:00,21:00:00,N,Y,N,Y,N,N
001365,27/05/2023,R 44,24/06/2023,8:00:00,14:00:00,N,N,N,N,N,Y
001365,20/05/2023,R 44,20/05/2023,11:00:00,11:00:00,N,N,N,N,N,Y
001369,11/02/2023,R 44,11/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001369,18/02/2023,R 44,25/03/2023,8:00:00,14:00:00,N,N,N,N,N,Y
001371,20/05/2023,R 21,20/05/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001371,15/04/2023,R 21,13/05/2023,8:00:00,14:00:00,N,N,N,N,N,Y
001377,11/02/2023,R 21,11/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001377,18/02/2023,R 21,25/03/2023,8:00:00,14:00:00,N,N,N,N,N,Y
001361,11/02/2023,R 01,11/02/2023,11:00:00,14:00:00,N,N,N,N,N,Y
001361,18/02/2023,R 01,25/03/2023,8:00:00,14:00:00,N,N,N,N,N,Y
001368,11/02/2023,R 44,11/02/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001368,07/01/2023,R 44,04/02/2023,8:00:00,14:00:00,N,N,N,N,N,Y
001387,27/05/2023,R 06,24/06/2023,8:00:00,14:00:00,N,N,N,N,N,Y
001387,20/05/2023,R 06,20/05/2023,11:00:00,14:00:00,N,N,N,N,N,Y
012072,16/02/2023,,23/03/2023,18:00:00,21:00:00,N,Y,N,Y,N,N
001362,15/04/2023,R 44,13/05/2023,8:00:00,14:00:00,N,N,N,N,N,Y
001362,20/05/2023,R 44,20/05/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001098,17/03/2023,R 12,01/04/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001098,17/03/2023,R 12,01/04/2023,18:00:00,21:00:00,N,N,N,N,Y,N
001097,10/02/2023,R 12,04/03/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001097,10/02/2023,R 12,04/03/2023,18:00:00,21:00:00,N,N,N,N,Y,N
001159,24/03/2023,R 10,29/04/2023,18:00:00,21:00:00,N,N,N,N,Y,N
001159,24/03/2023,R 46,29/04/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001160,12/05/2023,R 10,10/06/2023,18:00:00,21:00:00,N,N,N,N,Y,N
001160,12/05/2023,R 46,10/06/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001158,17/02/2023,R 10,11/03/2023,18:00:00,21:00:00,N,N,N,N,Y,N
001158,17/02/2023,R 46,11/03/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001157,13/01/2023,R 10,04/02/2023,18:00:00,21:00:00,N,N,N,N,Y,N
001157,13/01/2023,R 46,04/02/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001105,10/03/2023,R 14,25/03/2023,18:00:00,21:00:00,N,N,N,N,Y,N
001105,10/03/2023,R 14,25/03/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001104,03/02/2023,R 14,25/02/2023,18:00:00,21:00:00,N,N,N,N,Y,N
001104,03/02/2023,R 14,25/02/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001103,06/01/2023,R 14,21/01/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001103,06/01/2023,R 14,21/01/2023,18:00:00,21:00:00,N,N,N,N,Y,N
001175,19/05/2023,JEREZ 01,17/06/2023,18:00:00,21:00:00,N,N,N,N,Y,N
001175,19/05/2023,JEREZ 01,17/06/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001173,24/03/2023,JEREZ 01,06/05/2023,18:00:00,21:00:00,N,N,N,N,Y,N
001173,24/03/2023,JEREZ 01,06/05/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001172,10/02/2023,JEREZ 01,11/03/2023,18:00:00,21:00:00,N,N,N,N,Y,N
001172,10/02/2023,JEREZ 01,11/03/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001171,02/12/2022,JEREZ 01,28/01/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001171,02/12/2022,JEREZ 01,28/01/2023,18:00:00,21:00:00,N,N,N,N,Y,N
009934,03/12/2022,R 15,14/01/2023,9:00:00,12:00:00,N,N,N,N,N,Y
009934,03/12/2022,R 15,14/01/2023,19:00:00,22:00:00,N,N,N,Y,N,N
001118,19/01/2023,R 15,11/02/2023,19:00:00,22:00:00,N,N,N,Y,N,N
001118,19/01/2023,R 15,11/02/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001116,19/01/2023,NR 08,11/02/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001116,19/01/2023,NR 08,11/02/2023,19:00:00,22:00:00,N,N,N,Y,N,N
001120,13/04/2023,NR 08,29/04/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001120,13/04/2023,NR 08,29/04/2023,19:00:00,22:00:00,N,N,N,Y,N,N
001165,11/05/2023,R 29,03/06/2023,19:00:00,22:00:00,N,N,N,Y,N,N
001165,11/05/2023,R 47,03/06/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001119,18/02/2023,NR 08,25/03/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001119,18/02/2023,NR 08,25/03/2023,19:00:00,22:00:00,N,N,N,Y,N,N
001163,12/01/2023,R 29,11/02/2023,19:00:00,22:00:00,N,N,N,Y,N,N
001163,12/01/2023,R 47,11/02/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001164,23/02/2023,R 29,27/04/2023,19:00:00,22:00:00,N,N,N,Y,N,N
001164,23/02/2023,R 47,27/04/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001164,23/02/2023,R 29,27/04/2023,19:00:00,22:00:00,N,N,N,Y,N,N
001164,23/02/2023,R 47,27/04/2023,9:00:00,12:00:00,N,N,N,N,N,Y
001105,06/05/2023,NR 05,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001105,22/04/2023,NR 05,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001105,21/04/2023,NR 05,21/04/2023,19:00:00,22:00:00,N,N,N,N,Y,N
001105,22/04/2023,NR 05,22/04/2023,8:00:00,11:00:00,N,N,N,N,N,Y
001105,06/05/2023,NR 05,01/07/2023,8:00:00,11:00:00,N,N,N,N,N,Y
