nombre_modulo,programa,no_clase,no_alumnos
Análisis de Grandes Volúmenes,Especialidad en Dirección de Operaciones,1401,4
Análisis de Grandes Volúmenes,Especialidad en Ingeniería y Gestión Ambiental,1402,4
Análisis de Grandes Volúmenes,Especialidad en Ingeniería y Gestión de Proyectos,1403,4
Análisis de Grandes Volúmenes,Especialidad en Logística Internacional,1404,4
Análisis de Grandes Volúmenes,Especialidad en Robótica y Manufactura,1405,4
Análisis de Grandes Volúmenes,Especialidad en Simuladores Gráficos,1406,4
Gestión del cambio,Especialidad en Ingeniería y Gestión de Proyectos,1407,30
Gestión del cambio,Maestría en Ingeniería,1408,3
Gestión del cambio,Especialidad en Ingeniería y Gestión de Proyectos,1409,30
Gestión del cambio,Maestría en Ingeniería,1410,3
Monetización de la Innovación,Especialidad en Dirección de Operaciones,1411,3
Monetización de la Innovación,Especialidad en Ingeniería y Gestión Ambiental,1412,3
Monetización de la Innovación,Especialidad en Ingeniería y Gestión de Proyectos,1413,3
Monetización de la Innovación,Especialidad en Logística Internacional,1414,3
Monetización de la Innovación,Especialidad en Robótica y Manufactura,1415,3
Monetización de la Innovación,Especialidad en Simuladores Gráficos,1416,3
Monetización de la Innovación,Maestría en Ciencia de Datos,1417,3
Planeación estratégica,Especialidad en Dirección de Operaciones,1418,3
Planeación estratégica,Especialidad en Ingeniería y Gestión Ambiental,1419,3
Planeación estratégica,Especialidad en Ingeniería y Gestión de Proyectos,1420,3
Planeación estratégica,Especialidad en Logística Internacional,1421,3
Planeación estratégica,Especialidad en Robótica y Manufactura,1422,3
Planeación estratégica,Especialidad en Simuladores Gráficos,1423,3
Planeación estratégica,Maestría en Ciencia de Datos,1424,3
Sistemas de ayuda a la decisió,Especialidad en Dirección de Operaciones,1425,6
Sistemas de ayuda la decisión,Maestría en Ingeniería,1426,6
Sistemas de ayuda a la decisió,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1427,6
Administración de los Sistemas,Especialidad en Dirección de Operaciones,1428,6
Administración de los Sistemas,Maestría en Ingeniería,1429,6
Administración de los Sistemas,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1430,6
Comercio electrónico y estánda,Especialidad en Logística Internacional,1431,20
Comercio electrónico y estánda,Maestría en Ingeniería,1432,3
Comercio electrónico y estánda,Maestría en Ingeniería y Gestión de la Cadena de Suministro,1433,3
Ingeniería de Proyectos,Especialidad en Ingeniería y Gestión de Proyectos,1434,30
Ingeniería de Proyectos,Maestría en Ingeniería,1435,3
Materiales y Procesos para la,Especialidad en Ingeniería y Gestión Ambiental,1436,30
Materiales y Procesos para la,Maestría en Ingeniería,1437,3
Procesadores Gráficos y Aplica,Maestría en Ingeniería,1438,3
Procesadores Gráficos y Aplica,Especialidad en Simuladores Gráficos,1439,20
Selección de Materiales para,Maestría en Ingeniería,1440,3
Selección de Materiales para,Especialidad en Robótica y Manufactura,1441,7
Aprendizaje Automático,Especialidad en Dirección de Operaciones,1442,4
Aprendizaje Automático,Especialidad en Ingeniería y Gestión Ambiental,1443,4
Aprendizaje Automático,Especialidad en Ingeniería y Gestión de Proyectos,1444,4
Aprendizaje Automático,Especialidad en Logística Internacional,1445,4
Aprendizaje Automático,Especialidad en Robótica y Manufactura,1446,4
Aprendizaje Automático,Especialidad en Simuladores Gráficos,1447,4
Plan de operación de negocios,Especialidad en Dirección de Operaciones,1448,4
Inteligencia de Negocio y Solu,Especialidad en Ingeniería y Gestión Ambiental,1449,4
Inteligencia de Negocio y Solu,Especialidad en Ingeniería y Gestión de Proyectos,1450,4
Inteligencia de Negocio y Solu,Especialidad en Logística Internacional,1451,4
Inteligencia de Negocio y Solu,Especialidad en Robótica y Manufactura,1452,4
Inteligencia de Negocio y Solu,Especialidad en Simuladores Gráficos,1453,4
Temas selectos de Innovación,Especialidad en Dirección de Operaciones,1454,3
Servicio de alimentos y bebida,Especialidad en Ingeniería y Gestión Ambiental,1455,3
Temas selectos de Innovación,Especialidad en Ingeniería y Gestión de Proyectos,1456,3
Temas selectos de Innovación,Especialidad en Logística Internacional,1457,3
Temas selectos de Innovación,Especialidad en Robótica y Manufactura,1458,3
Temas selectos de Innovación,Especialidad en Simuladores Gráficos,1459,3
Análisis de Grandes Volúmenes,Especialidad en Dirección de Operaciones,1460,4
Análisis de Grandes Volúmenes,Especialidad en Ingeniería y Gestión Ambiental,1461,4
Análisis de Grandes Volúmenes,Especialidad en Ingeniería y Gestión de Proyectos,1462,4
Análisis de Grandes Volúmenes,Especialidad en Logística Internacional,1463,4
