Id de curso,Nombre del módulo
031426,Curaduría y Museografía en las
031429,Conservación y Gestión del Pat
031434,Políticas Culturales Comparada
031422,Comunicación y Mercadotecnia C
031433,Gestión Gubernamental y Diseño
031435,Diplomacia Cultural
031431,Creación de Empresas y Emprend
031432,Administración del Capital Hum
031430,Gestión de Organizaciones Cult
031427,Programación y Gestión de las
031423,Marco Legal y Jurídico
031428,Producción e Industria Cinemat
035257,Estrategia de Comunicación y P
035259,Datos e Inteligencia del Consu
035270,Economía del Comportamiento
035263,Principios de Automatización e
035269,Comunicación de Crisis
035271,"Modelos de Análisis, Medición"
035273,Privacidad y Uso de Datos
015573,Manejo de Crisis y Negociación
035265,Ética de la Comunicación para
035274,Comunicación Ética para el Cam
035275,Estrategia de Comunicación y P
035291,Datos e Inteligencia del Consu
035281,Economía del Comportamiento
035289,Principios de Automatización e
035280,Comunicación de Crisis
035288,"Modelos de Análisis, Medición"
035290,Privacidad y Uso de Datos
032688,Manejo de Big Data
032686,Comunicación Financiera
032713,Desarrollo de Contenidos Audio
032683,Seminario de Titulación
032665,Comunicación Integrada
032687,Comunicación Directiva
032723,Seminario de Titulación
032716,Procesos de Producción
032717,Paradigmas Artísticos en el D
032681,Comunicación en Situaciones de
032682,Ética de la Comunicación
032722,Ética de la Comunicación
035286,Ética de la Comunicación
032667,Diseño y Gestión de Contenidos
032694,Opinión Pública y Comunicación
035287,Seminario de Titulación
032707,Nuevas Narrativas Audiovisuale
032709,Ética de la Comunicación
032710,Seminario de Titulación
032695,Comunicación y Persuasión
032696,Estrategias para Campañas Polí
032700,Diplomacia Pública y Cultural
032714,Empresa Audiovisual y Marco No
009840,La Jurisprudencia
010128,Temas Selectos de Derecho Proc
009809,Derecho Bancario
009833,Las Sentencias y los Recursos
010092,La Acción Procesal
010115,Juicio Ordinario. Fase Probato
009811,Derecho Bursátil
009839,Amparo Agrario
009740,Diversas Cuestiones Procesales
010114,Juicio Ordinario. Introducción
009741,Improcedencia y Sobreseimiento
009813,Contratación por Medios Electr
009837,Amparo Laboral
009836,Amparo Penal
010091,Introducción al Derecho Proces
009739,La Suspensión del Acto Reclama
009736,Teoría del Proceso
009838,Amparo Administrativo y Fiscal
009841,Seminario de Temas Selectos
010113,Jurisdicción
009738,Control y Defensa de la Consti
009734,Introducción al Juicio de Ampa
010116,Juicio Ordinario. Fase Conclus
027442,Operaciones Bancarias y Temas
031499,Conceptos Fundamentales del D
024281,Interpretación y Argumentación
024259,Función Pública
027441,El Sistema Financiero y Banca
021373,Filosofía del Derecho
024303,Interpretación y Argumentación
024298,Seminario de Toma de Decisione
024286,Procesos Constitucionales
024307,Sistema Internacional y Region
024263,Servicios Públicos
024270,Conceptos Fundamentales de Der
021369,Metodología del Derecho
021376,Seminario de Investigación y T
024274,Procedimiento Contencioso Adm.
024282,Fundamentos de Derecho Procesa
031501,Derecho Colectivo
021380,Temas Selec de Teoría Política
024297,Etapa de Transf. de la Empresa
024271,Procedimientos Administrativos
027439,Principios Éticos del Derecho
024308,Protección y Promoción de los
024276,Seminario de Temas de Fiscali
024266,Temas Selectos de Derecho Admi
027440,Economía y Derecho Monetario
024294,Etapa de Creación de la Empres
031503,Derecho Procesal del Trabajo
031500,Conceptos Fundamentales del D
024258,Fundamentos de Derecho Adminis
024302,Seminario de Investigación y T
024280,Seminario de Investigación y T
021370,Antropología y Ética
024299,Empresa y Familia
024293,Se Metodología Estudio de Caso
027453,Organizaciones y Actividades A
031502,Relaciones Individuales del T
024283,Fundamentos Constitucionales
024269,Temas Selectos de Administraci
024268,Temas Selectos de Derecho Admi
024304,Fundamentos Histórico Filosófi
027454,Productos Financieros Derivado
024306,Fundamentos Constitucionales
021371,Historia del Pensamiento Juríd
024309,Seminario de Temas Selectos de
031513,Seminario de Actualización en
023123,Seminario de Investigación IV
023120,Seminario de Investigación I
010309,Antropología y Ética
023124,Seminario de Investigación V
032425,Organizaciones Ambidiestras
032556,Organizaciones Ambidiestras
032541,Organizaciones Ambidiestras
032427,Big Data y Megatendencias
032558,Big data y Megatendencias
032543,Big data y Megatendencias
032426,Metodologías Ágiles para la In
032557,Metodologías Ágiles para la In
032542,Metodologías Ágiles para la In
032413,Ética Empresarial y Resp. Soc.
032490,Ética Empresarial y Responsabi
032506,Ética Empresarial y Responsabi
032544,Ética Empresarial y Responsabi
032414,Dirección Estratégica
032491,Dirección Estratégica
032507,Dirección Estratégica
032545,Dirección Estratégica
030389,Información financiera y proce
032513,Aspectos Internacionales de lo
032508,Política Fiscal y Marco Tribut
032521,Análisis Comparativo del ISR
032555,Nuevos Modelos de Mercadotecni
030403,Talento y su dinámica dentro
032551,Gestión de Relación con los Cl
032548,Gestión Estratégica de Precios
032516,Aspectos Fiscales del Comercio
032547,Marcas y Posicionamiento
030394,Estrategia corporativa y relac
030408,Cumplimiento y control normati
032519,Precios de Transferencia
032518,Introducción a la Tributación
030391,Administración de Riesgos
030395,Ética y responsabilidad empres
032510,Impuestos Indirectos
032500,Valuación de Instrumentos Deri
030386,Nuevas alternativas de inversi
032503,Tesorería y Sistema Bancario
032501,Administración de Portafolios
032514,Regímenes Especiales de ISR
032504,Impuestos Corporativos
032511,Impuestos Corporativos
030409,Coordinación y formación de su
032493,Métodos Cuantitativos
032505,Derecho Corporativo
032509,ISR Personas Morales
032515,Contribuciones del Trabajo
030393,Finanzas Internacionales
030390,Mercados financieros
030392,Oportunidades globales y entor
032553,Evolución de la Mercadotecnia
032512,ISR Personas Físicas
032517,Procedimientos Administrativos
032520,Gestión Tributaria Internacion
032419,Impactos Organizacionales y Cu
032421,Ejecución de la Estrategia y D
032423,Habilidades Interpersonales pa
032424,Seminario de Casos de Negocio
032418,Gestión de Riesgos en Proyecto
032420,Finanzas en la Organización
032417,Técnicas y Herramientas para
032422,Seminario de preparación para
032415,Fundamentos de la Administraci
032416,Oficina de Dirección de Proyec
032502,"Control Interno, Costos y Pres"
032496,Analítica de Datos Financieros
032497,Finanzas Corporativas
032492,Entorno Económico
032494,Contabilidad Financiera
032495,Análisis Financiero
032498,Valuación de Instrumentos de R
032499,Valuación de Instrumentos de R
030404,Seminario de innovación financ
032554,Inteligencia de Negocios en un
032549,Comunicaciones Integrales de M
032550,Análisis Financiero de la Merc
032552,Gestión Estratégica de Ventas
032546,Investigación de Mercados
032536,Formas de Pago Internacional
032537,Contratos Internacionales
032534,Negocios Internacionales de Se
032538,Transporte Internacional de Me
032539,Marco Regulatorio del Comercio
032540,Aspectos Estratégicos del Proc
028749,Seminario de Investigación IV
028746,Seminario de Investigación II
031569,Propedéutico en Economía
028745,Métodos Cuantitativos Multiva.
028751,Seminario de Investigación VI
028740,Inteligencia de Negocios
031570,Propedéutico en Estadística
028741,Finanzas Corporativas
031571,Propedéutico en Finanzas
031515,Análisis de Riesgos
028742,Métodos Cualitativos
031521,Temas Avanzados de Estrategia
031518,Mercadotecnia Analítica
015285,Heridas
015286,Quemaduras
015287,Disfunción del piso pélvico
015288,"Ostomías, Fístulas y Drenajes"
015291,Disfunción del piso pélvico
015289,Heridas
015290,Quemaduras
015292,"Ostomías, Fístulas y Drenajes"
029295,Control Financiero
029476,Plan de operación de negocios
029483,Servicio de alimentos y bebida
029289,Emprendimiento e Innovación en
029290,Merca enfocada a la industria
029479,Relaciones públicas
029478,"Logística, compra y operación"
029475,Introducción y planeación de
029477,Mercadotecnia de servicios
019928,Control Financiero
019016,Control de Recursos Financiero
019019,Servicio de Alimentos y Bebida
028941,Hospitalidad en las institucio
028949,Seguridad dentro de las instal
028942,Administración Financiera
028947,Servicios generales
028945,Marco legal aplicado
028950,El servicio de alimentos:
028951,Bioética
026222,Antropología Teológica
026221,Racionalidad y Transcendencia
026220,Formación Humana e Intersubjet
026821,Introducción a la Traducción
026819,Introducción al Griego Clásico
027313,Temas Selec de Hist. Ideas I
027311,Temas Select. de Filosofía III
026824,Propedéutica de la Investigaci
026830,Seminario de Investigación y T
026851,Temas Selectos de Filosofía Na
027315,Temas Selec de Hist. Ideas III
027307,Historia de la Cultura Moderna
027309,Temas Selectos de Filosofía I
