nombre_modulo,programa,no_clase,no_alumnos
Introducción a la Traducción,Maestría en Filosofía Antigua,1398,3
Introducción al Griego Clásico,Maestría en Filosofía Antigua,1396,5
Temas Selec de Hist. Ideas I,Maestría en Historia del Pensamiento,1579,16
Temas Select. de Filosofía III,Maestría en Historia del Pensamiento,1581,12
Propedéutica de la Investigaci,Maestría en Filosofía Antigua,1399,5
Seminario de Investigación y T,Maestría en Filosofía Antigua,1400,4
Temas Selectos de Filosofía Na,Maestría en Filosofía Antigua,1395,9
Temas Selec de Hist. Ideas III,Maestría en Historia del Pensamiento,1584,12
Historia de la Cultura Moderna,Maestría en Historia del Pensamiento,1580,12
Temas Selectos de Filosofía I,Maestría en Historia del Pensamiento,1577,16
Seminario Sobre la Recepción Á,Maestría en Filosofía Antigua,1397,9
Historia de la Cultura Antigua,Maestría en Historia del Pensamiento,1574,16
