No. ,Escuela,Grado,Programa,Código,Tipo,Duración (m),Créditos,Año inicio,# Materias,# Materias inglés,Acuerdo,Fecha,Última actualización
1,Bellas Artes,Maestría,Maestría en Gestión de las Artes y Políticas Culturales,MGAP,Profesionalizante,24,81,2018,21,5,20194392,13/12/2019,2019
2,Ciencias de la Salud,Especialidad,Especialidad en Neuropsicología,EN,Profesionalizante,12,,2022,12,0,20170989,10/08/2017,2017
3,Ciencias de la Salud,Especialidad,Especialidad en Psicología Clínica y Salud,EPCS,Profesionalizante,12,,2022,12,0,20180037,11/01/2018,2017
4,Ciencias de la Salud,Especialidad,Especialidad en Psicología Educativa,EPE,Profesionalizante,12,,2022,12,0,20200076,26/02/2020,2019
5,Ciencias de la Salud,Especialidad,Especialidad en Psicología Organizacional,EPO,Profesionalizante,12,,2022,12,0,20170048,28/02/2017,2016
6,Ciencias de la Salud,Especialidad,"Especialidad en Terapia de Heridas, Estomas y Quemaduras",ETHEQ,Profesionalizante,8,61.87,2008,4,1,20090196,28/07/2009,2009
7,Ciencias de la Salud,Maestría,Maestría en Bioética,MBIO,Profesionalizante,24,,2014,33,0,20100494,16/04/2010,2010
8,Ciencias de la Salud,Maestría,"Maestría en Terapia de Heridas, Estomas y Quemaduras",MTHEQ,Profesionalizante,10,78.74,2009,7,1,20090195,28/07/2009,2009
9,Ciencias de la Salud,Doctorado,Doctorado en Bioética,DBIO,Investigación,24,,2019,24,0,20190919,25/04/2019,2019
10,Comunicación,Especialidad,Especialidad en Publicidad y Creación de Contenidos,EPCC,Profesionalizante,9,45,2021,9,0,,,
11,Comunicación,Especialidad,Especialidad en Relaciones Públicas y Reputación de Marca,ERPRM,Profesionalizante,9,45,2021,9,0,20090516,07/08/2009,2009
12,Comunicación,Maestría,Maestría en Comunicación Institucional,MCOMI,Profesionalizante,18,75,1997,17,0,20200723,15/10/2020,2020
13,Comunicación,Maestría,Maestría en Comunicación Política y Pública,MCPP,Profesionalizante,18,75,2019,17,1,20200724,15/10/2020,2020
14,Comunicación,Maestría,Maestría en Comunicaciones de Marca,MCM,Profesionalizante,15,77,2021,16,0,,,
15,Comunicación,Maestría,Maestría en Narrativa y Producción Audiovisual,MNPAU,Profesionalizante,18,75,2009,17,0,20200725,15/10/2020,2020
