"no_clase","nombre_modulo","dia","fecha","hora_inicio","hora_fin","programa","num_servicios","salon","escuela"
"8784","Temas Selectos de Dirección de","Lunes","2023-01-16","17:00:00","21:00:00","Maestría en Dirección de Instituciones Educativas",8,"SF_6-2","Pedagogía"
"8784","Temas Selectos de Dirección de","Lunes","2023-01-23","17:00:00","21:30:00","Maestría en Dirección de Instituciones Educativas",8,"SF_6-2","Pedagogía"
"8784","Temas Selectos de Dirección de","Miercoles","2023-01-18","17:00:00","21:00:00","Maestría en Dirección de Instituciones Educativas",8,"SF_6-2","Pedagogía"
"8784","Temas Selectos de Dirección de","Miercoles","2023-01-25","17:00:00","21:30:00","Maestría en Dirección de Instituciones Educativas",8,"SF_6-2","Pedagogía"
"8784","Temas Selectos de Dirección de","Jueves","2023-01-19","17:00:00","21:00:00","Maestría en Dirección de Instituciones Educativas",8,"SF_6-2","Pedagogía"
"1375","Analítica de Datos","Sábado","2023-05-20","11:00:00","14:00:00","Maestría en Dirección del Capital Humano",9,"R 21","Empresariales"
"1375","Analítica de Datos","Sábado","2023-05-27","11:00:00","14:00:00","Maestría en Dirección del Capital Humano",9,"R 21","Empresariales"
"1360","Comunicación Organizacional","Sábado","2023-02-11","08:00:00","11:00:00","Maestría en Dirección del Capital Humano",6,"R 01","Empresariales"
"1360","Comunicación Organizacional","Sábado","2023-01-07","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",6,"R 01","Empresariales"
"1376","Persona, Organización y Cultur","Sábado","2023-01-07","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",11,"R 21","Empresariales"
"1376","Persona, Organización y Cultur","Sábado","2023-02-11","08:00:00","11:00:00","Maestría en Dirección del Capital Humano",11,"R 21","Empresariales"
"1365","Relaciones Laborales y Segurid","Sábado","2023-05-27","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",12,"R 44","Empresariales"
"1365","Relaciones Laborales y Segurid","Sábado","2023-05-20","11:00:00","11:00:00","Maestría en Dirección del Capital Humano",12,"R 44","Empresariales"
"1369","Control Integral del Talento H","Sábado","2023-02-11","11:00:00","14:00:00","Maestría en Dirección del Capital Humano",9,"R 44","Empresariales"
"1369","Control Integral del Talento H","Sábado","2023-02-18","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",9,"R 44","Empresariales"
"1371","Gestión del Cambio","Sábado","2023-05-20","08:00:00","11:00:00","Maestría en Dirección del Capital Humano",10,"R 21","Empresariales"
"1371","Gestión del Cambio","Sábado","2023-04-15","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",10,"R 21","Empresariales"
"1377","Dirección Estratégica","Sábado","2023-02-11","11:00:00","14:00:00","Maestría en Dirección del Capital Humano",12,"R 21","Empresariales"
"1377","Dirección Estratégica","Sábado","2023-02-18","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",12,"R 21","Empresariales"
"1361","Evaluación del Capital Humano","Sábado","2023-02-11","11:00:00","14:00:00","Maestría en Dirección del Capital Humano",12,"R 01","Empresariales"
"1361","Evaluación del Capital Humano","Sábado","2023-02-18","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",12,"R 01","Empresariales"
"1368","Competencias Directivas y de L","Sábado","2023-02-11","08:00:00","11:00:00","Maestría en Dirección del Capital Humano",9,"R 44","Empresariales"
"1368","Competencias Directivas y de L","Sábado","2023-01-07","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",9,"R 44","Empresariales"
"1387","Formación del Talento Humano","Sábado","2023-05-27","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",16,"R 06","Empresariales"
"1387","Formación del Talento Humano","Sábado","2023-05-20","11:00:00","14:00:00","Maestría en Dirección del Capital Humano",16,"R 06","Empresariales"
"1362","Atracción, Retención y Desarro","Sábado","2023-04-15","08:00:00","14:00:00","Maestría en Dirección del Capital Humano",23,"R 44","Empresariales"
"1362","Atracción, Retención y Desarro","Sábado","2023-05-20","08:00:00","11:00:00","Maestría en Dirección del Capital Humano",23,"R 44","Empresariales"
"1172","Comunicación y Persuasión","Viernes","2023-02-10","18:00:00","21:00:00","Maestría en Neuropsicología y Educación",20,"JEREZ 01","Pedagogía"
"1172","Comunicación y Persuasión","Sábado","2023-02-10","09:00:00","12:00:00","Maestría en Neuropsicología y Educación",20,"JEREZ 01","Pedagogía"
"10654","Políticas Públicas","Viernes","2023-02-24","16:00:00","21:00:00","Maestría en Gobierno y Políticas Públicas",18,NULL,"Gobierno y Economía"
"10654","Políticas Públicas","Viernes","2023-03-03","16:00:00","21:00:00","Maestría en Gobierno y Políticas Públicas",18,NULL,"Gobierno y Economía"
"10654","Políticas Públicas","Sábado","2023-02-25","09:00:00","14:00:00","Maestría en Gobierno y Políticas Públicas",18,NULL,"Gobierno y Economía"
"10654","Políticas Públicas","Viernes","2023-02-24","16:00:00","21:00:00","Maestría en Gobierno y Políticas Públicas",18,NULL,"Gobierno y Economía"
"10654","Políticas Públicas","Sábado","2023-03-04","09:00:00","14:00:00","Maestría en Gobierno y Políticas Públicas",18,NULL,"Gobierno y Economía"
"10654","Políticas Públicas","Sábado","2023-04-22","16:00:00","19:00:00","Maestría en Gobierno y Políticas Públicas",18,NULL,"Gobierno y Economía"
"10654","Políticas Públicas","Viernes","2023-02-24","16:00:00","21:00:00","Maestría en Gobierno y Políticas Públicas",18,NULL,"Gobierno y Economía"
