nombre_modulo,programa,no_clase,no_alumnos
Negociación en Materia Laboral,Maestría en Derecho Laboral,1350,20
Modalidades de Contratación,Maestría en Derecho Laboral,1351,20
Derecho Burocrático,Maestría en Derecho Laboral,1352,20
Derechos Humanos en la Empresa,Maestría en Derecho Laboral,1353,20
Argumentación Jurídica,Maestría en Derecho Laboral,1354,20
Práctica Forense del Derecho L,Maestría en Derecho Laboral,1355,20
Seminario de Actualización en,Maestría en Derecho Laboral,1356,20
Liquidación de Instituciones,Maestría en Instituciones de Derecho Financiero,1308,40
Derecho Bursátil,Maestría en Instituciones de Derecho Financiero,1309,40
"Derecho de Seguros, Finanzas,",Maestría en Instituciones de Derecho Financiero,1310,40
Protección de los Intereses,Maestría en Instituciones de Derecho Financiero,1311,40
Autorización para Operar,Maestría en Instituciones de Derecho Financiero,1312,40
Derecho Financiero Internacion,Maestría en Instituciones de Derecho Financiero,1313,40
Delitos Financieros,Maestría en Instituciones de Derecho Financiero,1314,40
Grupos Financieros,Maestría en Instituciones de Derecho Financiero,1315,40
Temas Selectos de Derecho F,Maestría en Instituciones de Derecho Financiero,1316,40
Metodología de la Investigació,Maestría en Instituciones de Derecho Financiero,1317,40
Productos Financieros Derivado,Maestría en Instituciones de Derecho Financiero,1318,40
Etapa de Obtención de Recursos,Maestría en Derecho de la Empresa,1268,40
Etapa de Operación de la Empresa,Maestría en Derecho de la Empresa,1271,40
Metodología de la Enseñanza,Maestría en Ciencias Jurídicas,1199,14
Derechos Humanos,Maestría en Ciencias Jurídicas,1201,14
Historia del Derecho Natural,Maestría en Ciencias Jurídicas,1202,14
Seminario de Investigación y T,Maestría en Ciencias Jurídicas,1203,14
Temas Selec. de Derecho Const.,Maestría en Ciencias Jurídicas,1204,14
Temas Selec de Filosofía del D,Maestría en Ciencias Jurídicas,1205,14
Temas Selec. de Argumentación,Maestría en Ciencias Jurídicas,1206,14
Amparo en Materia Civil y Merc,Especialidad en Derecho Procesal Civil y Mercantil,1079,12
Cooperación Procesal Internaci,Especialidad en Derecho Procesal Civil y Mercantil,1078,12
Jurisdicción Voluntaria,Especialidad en Derecho Procesal Civil y Mercantil,1077,12
Tercería Civil y Mercantil,Especialidad en Derecho Procesal Civil y Mercantil,1076,12
Juicio Especial Hipotecario,Especialidad en Derecho Procesal Civil y Mercantil,1075,12
Juicio Ejecutivo,Especialidad en Derecho Procesal Civil y Mercantil,1074,12
Concursos y Quiebras,Especialidad en Derecho Procesal Civil y Mercantil,1073,12
Controversias del Orden Famili,Especialidad en Derecho Procesal Civil y Mercantil,1072,12
Controversias por Arrendamient,Especialidad en Derecho Procesal Civil y Mercantil,1071,12
